day,horizon,model,control_seed,latency,interpretation,blocks,adverse_before_fill,adverse_before_fill_defined_blocks,eligible_decisions,eligible_decisions_defined_blocks,eligible_decisions_total,excluded_invalid_placement,excluded_invalid_placement_defined_blocks,excluded_invalid_placement_total,fill_before_adverse,fill_before_adverse_defined_blocks,fill_probability,fill_probability_defined_blocks,fills,fills_defined_blocks,fills_total,markout_1,markout_1_defined_blocks,markout_10,markout_10_defined_blocks,markout_10_observations,markout_10_observations_defined_blocks,markout_10_observations_total,markout_1_observations,markout_1_observations_defined_blocks,markout_1_observations_total,markout_5,markout_5_defined_blocks,markout_5_observations,markout_5_observations_defined_blocks,markout_5_observations_total,markout_remaining,markout_remaining_defined_blocks,markout_remaining_observations,markout_remaining_observations_defined_blocks,markout_remaining_observations_total,mean_fill_time,mean_fill_time_defined_blocks,mean_queue_ahead,mean_queue_ahead_defined_blocks,median_fill_time,median_fill_time_defined_blocks,median_queue_ahead,median_queue_ahead_defined_blocks,no_event_fraction,no_event_fraction_defined_blocks,placed_orders,placed_orders_defined_blocks,placed_orders_total,queue_ahead_p10,queue_ahead_p10_defined_blocks,queue_ahead_p90,queue_ahead_p90_defined_blocks,simultaneous,simultaneous_defined_blocks,spread_1,spread_1_defined_blocks,spread_10,spread_10_defined_blocks,spread_10_observations,spread_10_observations_defined_blocks,spread_10_observations_total,spread_1_observations,spread_1_observations_defined_blocks,spread_1_observations_total,spread_5,spread_5_defined_blocks,spread_5_observations,spread_5_observations_defined_blocks,spread_5_observations_total,spread_remaining,spread_remaining_defined_blocks,spread_remaining_observations,spread_remaining_observations_defined_blocks,spread_remaining_observations_total,unfilled_fraction,unfilled_fraction_defined_blocks,zero_signal_decisions,zero_signal_decisions_defined_blocks,zero_signal_decisions_total
2017-12-27,20,xgboost,7.0,1,reset,5,0.07563505099659687,5,33539.6,5,167698,0.0,5,0,0.034920000468365284,5,0.042158197961743846,5,1274.2,5,6371,-0.2222644718305838,5,-0.42012231602956673,5,1271.6,5,6358,1274.2,5,6371,-0.41933498731567787,5,1274.2,5,6371,-0.3486202526041351,5,1173.4,5,5867,13.613089876589191,5,1128.37190443992,5,14.4,5,745.2,5,0.8872860753296387,5,33539.6,5,167698,151.4,5,2303.6,5,0.0021588732053991707,5,3.1593639152471082,5,2.764033894188999,5,1271.6,5,6358,1274.2,5,6371,2.7652149492011886,5,1274.2,5,6371,2.938121255245457,5,1173.4,5,5867,0.9578418020382562,5,0.0,5,0
2017-12-27,20,xgboost,7.0,1,retain,5,0.07563505099659687,5,33539.6,5,167698,0.0,5,0,0.034920000468365284,5,0.042158197961743846,5,1274.2,5,6371,-0.2222644718305838,5,-0.42012231602956673,5,1271.6,5,6358,1274.2,5,6371,-0.41933498731567787,5,1274.2,5,6371,-0.3486202526041351,5,1173.4,5,5867,13.613089876589191,5,1128.37190443992,5,14.4,5,745.2,5,0.8872860753296387,5,33539.6,5,167698,151.4,5,2303.6,5,0.0021588732053991707,5,3.1593639152471082,5,2.764033894188999,5,1271.6,5,6358,1274.2,5,6371,2.7652149492011886,5,1274.2,5,6371,2.938121255245457,5,1173.4,5,5867,0.9578418020382562,5,0.0,5,0
2017-12-27,20,xgboost,7.0,5,reset,5,0.07744529301885968,5,33539.6,5,167698,0.0,5,0,0.03590098816169619,5,0.04357593652903201,5,1310.0,5,6550,-0.2292810818742536,5,-0.4508487836975773,5,1307.0,5,6535,1310.0,5,6550,-0.4426468108654381,5,1310.0,5,6550,-0.32622523840706713,5,799.0,5,3995,13.640555942796686,5,1121.7125207064114,5,14.4,5,739.6,5,0.8843683034559593,5,33539.6,5,167698,151.2,5,2290.8399999999992,5,0.0022854153634849126,5,3.2080322388904237,5,2.7648906544061504,5,1307.0,5,6535,1310.0,5,6550,2.781253280252685,5,1310.0,5,6550,3.158231155560459,5,799.0,5,3995,0.956424063470968,5,0.0,5,0
2017-12-27,20,xgboost,7.0,5,retain,5,0.07744529301885968,5,33539.6,5,167698,0.0,5,0,0.03590098816169619,5,0.04357593652903201,5,1310.0,5,6550,-0.2292810818742536,5,-0.4508487836975773,5,1307.0,5,6535,1310.0,5,6550,-0.4426468108654381,5,1310.0,5,6550,-0.32622523840706713,5,799.0,5,3995,13.640555942796686,5,1121.7125207064114,5,14.4,5,739.6,5,0.8843683034559593,5,33539.6,5,167698,151.2,5,2290.8399999999992,5,0.0022854153634849126,5,3.2080322388904237,5,2.7648906544061504,5,1307.0,5,6535,1310.0,5,6550,2.781253280252685,5,1310.0,5,6550,3.158231155560459,5,799.0,5,3995,0.956424063470968,5,0.0,5,0
2017-12-27,20,xgboost,,0,reset,5,0.04617333574268952,5,33539.6,5,167698,0.0,5,0,0.018565428397951368,5,0.021413122822911947,5,618.6,5,3093,-0.28080324116149025,5,-0.44513981426609134,5,618.4,5,3092,618.6,5,3093,-0.4058565778612432,5,618.6,5,3093,-0.3408905804027656,5,618.6,5,3093,14.372631384946317,5,1832.3198299578185,5,14.6,5,1150.4,5,0.9344710069860274,5,33539.6,5,167698,405.4,5,5181.76,5,0.0007902288733317227,5,3.67552971826949,5,3.346403875284653,5,618.4,5,3092,618.6,5,3093,3.425386968570931,5,618.6,5,3093,3.555335085060288,5,618.6,5,3093,0.978586877177088,5,0.0,5,0
2017-12-27,20,xgboost,,0,retain,5,0.04617333574268952,5,33539.6,5,167698,0.0,5,0,0.018565428397951368,5,0.021413122822911947,5,618.6,5,3093,-0.28080324116149025,5,-0.44513981426609134,5,618.4,5,3092,618.6,5,3093,-0.4058565778612432,5,618.6,5,3093,-0.3408905804027656,5,618.6,5,3093,14.372631384946317,5,1832.3198299578185,5,14.6,5,1150.4,5,0.9344710069860274,5,33539.6,5,167698,405.4,5,5181.76,5,0.0007902288733317227,5,3.67552971826949,5,3.346403875284653,5,618.4,5,3092,618.6,5,3093,3.425386968570931,5,618.6,5,3093,3.555335085060288,5,618.6,5,3093,0.978586877177088,5,0.0,5,0
2017-12-27,20,xgboost,,1,reset,5,0.04884319729273665,5,33539.6,5,167698,0.0,5,0,0.019824383349974675,5,0.02315631655265285,5,677.0,5,3385,-0.23955566336353726,5,-0.4308461212943172,5,676.2,5,3381,677.0,5,3385,-0.38907520277492824,5,677.0,5,3385,-0.324962980836207,5,616.8,5,3084,14.121463050947451,5,1813.4005088289937,5,14.6,5,1136.2,5,0.9304565131799658,5,33539.6,5,167698,387.28000000000003,5,5130.8,5,0.0008759061773229626,5,3.7288187561024637,5,3.3467561760298237,5,676.2,5,3381,677.0,5,3385,3.42973682273164,5,677.0,5,3385,3.5706095490719902,5,616.8,5,3084,0.9768436834473473,5,0.0,5,0
2017-12-27,20,xgboost,,1,retain,5,0.04884319729273665,5,33539.6,5,167698,0.0,5,0,0.019824383349974675,5,0.02315631655265285,5,677.0,5,3385,-0.23955566336353726,5,-0.4308461212943172,5,676.2,5,3381,677.0,5,3385,-0.38907520277492824,5,677.0,5,3385,-0.324962980836207,5,616.8,5,3084,14.121463050947451,5,1813.4005088289937,5,14.6,5,1136.2,5,0.9304565131799658,5,33539.6,5,167698,387.28000000000003,5,5130.8,5,0.0008759061773229626,5,3.7288187561024637,5,3.3467561760298237,5,676.2,5,3381,677.0,5,3385,3.42973682273164,5,677.0,5,3385,3.5706095490719902,5,616.8,5,3084,0.9768436834473473,5,0.0,5,0
2017-12-27,20,xgboost,,5,reset,5,0.05661225834599541,5,33539.6,5,167698,0.0,5,0,0.02351078469225306,5,0.027929368513476625,5,821.0,5,4105,-0.24338952374297412,5,-0.4357163250715111,5,819.8,5,4099,821.0,5,4105,-0.3885262038512272,5,820.8,5,4104,-0.2660174637956487,5,493.2,5,2466,13.779093625506011,5,1751.5084760712562,5,14.4,5,1091.6,5,0.9187526633209432,5,33539.6,5,167698,327.2,5,4997.2,5,0.001124293640808256,5,3.499130303797153,5,3.1166717747574575,5,819.8,5,4099,821.0,5,4105,3.2095093909130994,5,820.8,5,4104,3.575751590270022,5,493.2,5,2466,0.9720706314865234,5,0.0,5,0
2017-12-27,20,xgboost,,5,retain,5,0.05661225834599541,5,33539.6,5,167698,0.0,5,0,0.02351078469225306,5,0.027929368513476625,5,821.0,5,4105,-0.24338952374297412,5,-0.4357163250715111,5,819.8,5,4099,821.0,5,4105,-0.3885262038512272,5,820.8,5,4104,-0.2660174637956487,5,493.2,5,2466,13.779093625506011,5,1751.5084760712562,5,14.4,5,1091.6,5,0.9187526633209432,5,33539.6,5,167698,327.2,5,4997.2,5,0.001124293640808256,5,3.499130303797153,5,3.1166717747574575,5,819.8,5,4099,821.0,5,4105,3.2095093909130994,5,820.8,5,4104,3.575751590270022,5,493.2,5,2466,0.9720706314865234,5,0.0,5,0
