symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,linear,,4.0,2017-12-29,0,-12.15543752525749,-0.1045847242352322,3501,-11.506090717170682
KGHM,10,linear,,5.0,2017-12-29,0,-14.045299852546268,0.03057591851432801,3786,-13.953755966643309
KGHM,10,linear,,6.0,2017-12-29,0,-12.394730930011335,0.1512540672993318,3082,-12.59150088086735
KGHM,10,linear,,7.0,2017-12-29,0,-11.551516518112344,0.26180105358152944,3052,-12.064950293986985
KGHM,10,linear,,8.0,2017-12-29,0,-9.596399387676822,0.37633728369180003,3087,-10.212558764510408
KGHM,10,linear,,9.0,2017-12-29,0,-7.8373054576014844,0.4960398977905856,2213,-9.5197212897659
KGHM,10,linear,,10.0,2017-12-29,0,-5.231925516746406,0.6415769199246687,1348,-6.861716385274238
KGHM,10,linear,,1.0,all,1,-6.912469806894611,-0.6003665522564912,8718,-5.720574345869948
KGHM,10,linear,,2.0,all,1,-8.896819713370888,-0.3989037339914297,8716,-8.166335419499761
KGHM,10,linear,,3.0,all,1,-9.801579229661161,-0.25214771243793677,8717,-9.231802106103306
KGHM,10,linear,,4.0,all,1,-10.568606813351114,-0.10522480141946253,8716,-9.930509641498722
KGHM,10,linear,,5.0,all,1,-11.795744109396173,0.03075553244922619,8720,-11.692524210001576
KGHM,10,linear,,6.0,all,1,-10.41087821607401,0.15034555124366622,8719,-10.367583695734668
KGHM,10,linear,,7.0,all,1,-10.117538272228412,0.2624615245020034,8712,-10.507781542648715
KGHM,10,linear,,8.0,all,1,-9.260209673660885,0.37761927750443874,8716,-9.948113633261716
KGHM,10,linear,,9.0,all,1,-7.717958941790889,0.49956386189611035,8719,-8.669691123266329
KGHM,10,linear,,10.0,all,1,-5.610128224256235,0.6500915406646429,8715,-6.838049473104457
KGHM,10,linear,,1.0,2017-12-27,1,-6.353758890063563,-0.6074151567458995,3381,-5.318543091021339
KGHM,10,linear,,2.0,2017-12-27,1,-7.554496257403911,-0.39892798760195886,2540,-7.208816086050789
KGHM,10,linear,,3.0,2017-12-27,1,-8.256453914867743,-0.2501893723157439,1864,-7.945447294518688
KGHM,10,linear,,4.0,2017-12-27,1,-7.9192509511577365,-0.1062118588379277,1912,-7.385135670906147
KGHM,10,linear,,5.0,2017-12-27,1,-8.565175186478212,0.028124402558861457,1892,-8.58468950927005
