symbol,horizon,model,control_seed,bottom_decile_short_bps,coverage,day,decile_bins,excluded_crossing_common,latency,ordered_deciles,prediction_rows,rows,selected_rows,sign_selected_bps,threshold_bps,top_decile_long_bps
PEKAO,10,linear,,-5.31950764590973,0.0002206369051996764,2017-12-27,10,5,5,0.0,13602,13597,3,-5.244700423371683,1.0,-5.226722668957016
PEKAO,10,linear,,-5.8355138904787855,0.0014083644602290123,2017-12-28,10,5,5,0.0,16336,16331,23,-7.452666471323507,1.0,-6.028633702025741
PEKAO,10,linear,,-5.952422247924939,0.00015340952673161004,2017-12-29,10,5,5,0.0,13042,13037,2,-7.69526826463664,1.0,-5.878315929527108
PEKAO,10,xgboost,,-5.159719755288361,0.04045153031537298,all,10,15,0,0.0,42980,42965,1738,-4.406055656899838,1.0,-4.85153172741733
PEKAO,10,xgboost,,-4.806851549088319,0.03912627785540928,2017-12-27,10,5,0,0.0,13602,13597,532,-4.205398027673382,1.0,-4.402073722102908
PEKAO,10,xgboost,,-5.3001765562048195,0.054313881574918864,2017-12-28,10,5,0,0.0,16336,16331,887,-4.5141754257345434,1.0,-5.2662586925948185
PEKAO,10,xgboost,,-5.5657297434988395,0.0244688195136918,2017-12-29,10,5,0,0.0,13042,13037,319,-4.440060747157174,1.0,-4.970055896503798
PEKAO,10,xgboost,,-5.403381595212478,0.04045153031537298,all,10,15,1,0.0,42980,42965,1738,-5.031006542954961,1.0,-5.100832921048253
PEKAO,10,xgboost,,-5.006209003776914,0.03912627785540928,2017-12-27,10,5,1,0.0,13602,13597,532,-4.9357880576312825,1.0,-4.641993447636834
PEKAO,10,xgboost,,-5.560490178882436,0.054313881574918864,2017-12-28,10,5,1,0.0,16336,16331,887,-5.017543209267911,1.0,-5.503692955251188
PEKAO,10,xgboost,,-5.863469641380898,0.0244688195136918,2017-12-29,10,5,1,0.0,13042,13037,319,-5.227239179859697,1.0,-5.256908283923704
PEKAO,10,xgboost,,-5.712835191601095,0.04045153031537298,all,10,15,5,0.0,42980,42965,1738,-5.481700963037462,1.0,-5.615861296339431
PEKAO,10,xgboost,,-5.2756000694969885,0.03912627785540928,2017-12-27,10,5,5,0.0,13602,13597,532,-5.400783232127061,1.0,-5.2534048246163
PEKAO,10,xgboost,,-5.850775493535794,0.054313881574918864,2017-12-28,10,5,5,0.0,16336,16331,887,-5.394433840341801,1.0,-5.899897531227521
PEKAO,10,xgboost,,-6.329778533034659,0.0244688195136918,2017-12-29,10,5,5,0.0,13042,13037,319,-5.859300244151521,1.0,-5.797603529670731
PEKAO,20,linear,,-5.262864874139305,0.10348200768603703,all,10,15,0,0.0,42950,42935,4443,-4.464708864731409,1.0,-5.078175735746463
PEKAO,20,linear,,-4.767337649981448,0.12173401045116655,2017-12-27,10,5,0,0.0,13592,13587,1654,-3.8065696488693193,1.0,-4.182984740672754
PEKAO,20,linear,,-5.583850903676446,0.12689173457508732,2017-12-28,10,5,0,0.0,16326,16321,2071,-5.168822829552816,1.0,-5.784976587215524
PEKAO,20,linear,,-5.439631977839277,0.055116296921777844,2017-12-29,10,5,0,0.0,13032,13027,718,-3.9498651904845556,1.0,-5.410886555494367
PEKAO,20,linear,,-5.479412089964764,0.10348200768603703,all,10,15,1,0.0,42950,42935,4443,-4.761905931592411,1.0,-5.29276794255219
PEKAO,20,linear,,-4.963235101051281,0.12173401045116655,2017-12-27,10,5,1,0.0,13592,13587,1654,-4.131783892937789,1.0,-4.4354295969681585
PEKAO,20,linear,,-5.832608049076095,0.12689173457508732,2017-12-28,10,5,1,0.0,16326,16321,2071,-5.451950479737328,1.0,-5.980377480691546
PEKAO,20,linear,,-5.619171453232233,0.055116296921777844,2017-12-29,10,5,1,0.0,13032,13027,718,-4.223103135947037,1.0,-5.5935047938812525
PEKAO,20,linear,,-5.744817864759417,0.10348200768603703,all,10,15,5,0.0,42950,42935,4443,-5.214007675251093,1.0,-5.643283325730658
PEKAO,20,linear,,-5.258246559594074,0.12173401045116655,2017-12-27,10,5,5,0.0,13592,13587,1654,-4.801375172119185,1.0,-4.905378470598826
PEKAO,20,linear,,-6.016573831418062,0.12689173457508732,2017-12-28,10,5,5,0.0,16326,16321,2071,-5.785719497254096,1.0,-6.281917508097133
PEKAO,20,linear,,-6.020712459382335,0.055116296921777844,2017-12-29,10,5,5,0.0,13032,13027,718,-4.515510428471085,1.0,-5.823752957373987
PEKAO,20,xgboost,,-5.0316425475198505,0.13455223011529055,all,10,15,0,0.0,42950,42935,5777,-4.599169393128873,1.0,-4.871843610094957
PEKAO,20,xgboost,,-4.67322074635795,0.15301391035548687,2017-12-27,10,5,0,0.0,13592,13587,2079,-4.158799836147804,1.0,-4.210339444889315
PEKAO,20,xgboost,,-5.163770061921026,0.16843330678267263,2017-12-28,10,5,0,0.0,16326,16321,2749,-4.952439457709525,1.0,-5.427925320886047
PEKAO,20,xgboost,,-5.442832191328342,0.0728486988562217,2017-12-29,10,5,0,0.0,13032,13027,949,-4.540569710759465,1.0,-5.118868009133854
PEKAO,20,xgboost,,-5.287329402137601,0.13455223011529055,all,10,15,1,0.0,42950,42935,5777,-4.926638475189321,1.0,-5.119118480407685
PEKAO,20,xgboost,,-4.907793602146463,0.15301391035548687,2017-12-27,10,5,1,0.0,13592,13587,2079,-4.483612879217168,1.0,-4.460948045693191
PEKAO,20,xgboost,,-5.425718835329448,0.16843330678267263,2017-12-28,10,5,1,0.0,16326,16321,2749,-5.2722328544625725,1.0,-5.677649179894028
PEKAO,20,xgboost,,-5.728103738382965,0.0728486988562217,2017-12-29,10,5,1,0.0,13032,13027,949,-4.896091863391577,1.0,-5.355811100806431
PEKAO,20,xgboost,,-5.6482654324308985,0.13455223011529055,all,10,15,5,0.0,42950,42935,5777,-5.404884354394924,1.0,-5.570732112969494
PEKAO,20,xgboost,,-5.262271940348761,0.15301391035548687,2017-12-27,10,5,5,0.0,13592,13587,2079,-5.086226602690123,1.0,-5.021945914035102
