day,horizon,model,control_seed,latency,blocks,bottom_decile_short_bps,bottom_decile_short_bps_defined_blocks,coverage,coverage_defined_blocks,decile_bins,decile_bins_defined_blocks,excluded_crossing_common,excluded_crossing_common_defined_blocks,excluded_crossing_common_total,ordered_deciles,ordered_deciles_defined_blocks,prediction_rows,prediction_rows_defined_blocks,prediction_rows_total,rows,rows_defined_blocks,rows_total,selected_rows,selected_rows_defined_blocks,selected_rows_total,sign_selected_bps,sign_selected_bps_defined_blocks,threshold_bps,threshold_bps_defined_blocks,top_decile_long_bps,top_decile_long_bps_defined_blocks
2017-12-29,10,xgboost,,5,5,-6.509353641353267,5,0.01707193064081687,5,10.0,5,5.0,5,25,0.0,5,32809.0,5,164045,32804.0,5,164020,517.4,5,2587,-5.801645967585556,5,1.0,5,-6.664478745097284,5
2017-12-29,20,linear,,0,5,-5.607015435338903,5,0.023468795903333464,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,575.0,5,2875,,4,1.0,5,-5.5552728164079195,5
2017-12-29,20,linear,,1,5,-5.785420133131433,5,0.023468795903333464,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,575.0,5,2875,,4,1.0,5,-5.794061235789905,5
2017-12-29,20,linear,,5,5,-6.115171667963239,5,0.023468795903333464,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,575.0,5,2875,,4,1.0,5,-6.1974880679493785,5
2017-12-29,20,xgboost,7.0,0,5,-11.916500304537319,5,0.0,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,0.0,5,0,,0,1.0,5,-10.043542783100971,5
2017-12-29,20,xgboost,7.0,1,5,-11.91492806867327,5,0.0,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,0.0,5,0,,0,1.0,5,-10.048469633546102,5
2017-12-29,20,xgboost,7.0,5,5,-11.898970236565958,5,0.0,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,0.0,5,0,,0,1.0,5,-10.031696486337001,5
2017-12-29,20,xgboost,,0,5,-5.858338115779094,5,0.06159667469825014,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,1925.8,5,9629,-4.6764972384563865,5,1.0,5,-5.887934646994829,5
2017-12-29,20,xgboost,,1,5,-6.0668001043479425,5,0.06159667469825014,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,1925.8,5,9629,-5.12217067186007,5,1.0,5,-6.134767566787185,5
2017-12-29,20,xgboost,,5,5,-6.429601860155223,5,0.06159667469825014,5,10.0,5,5.0,5,25,0.0,5,32799.0,5,163995,32794.0,5,163970,1925.8,5,9629,-5.635576207950927,5,1.0,5,-6.559329162559999,5
