symbol,horizon,model,control_seed,adverse_before_fill,day,eligible_decisions,excluded_invalid_placement,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,linear,,0.02884012539184953,2017-12-28,35090,0,0.004901681390709604,0.006611570247933884,232,retain,5,0.1437143739738772,-0.9084067206574489,232,232,-0.1818753440777507,232,1.0048816888956567,42,7.577586206896552,1094.7986890852094,8.0,671.0,0.9661442006269593,35090,161.0,2069.0,0.0001139925904816187,2.6418558058259562,0.5375501341756469,232,232,1.99048954469636,232,1.8000723282850455,42,0.9933884297520661,0
KGHM,10,linear,,0.0434694770867706,2017-12-29,29699,0,0.005926125458769656,0.006936260480150847,206,retain,5,0.20614349617204855,-0.14064607359568826,206,206,0.05513517335570221,206,0.5269971032044451,38,7.606796116504855,1004.5074581635745,8.0,623.0,0.9506043974544598,29699,120.0,2052.0,0.0,6.453328747294208,5.759412753929447,206,206,6.151225673745908,206,6.690314216405616,38,0.9930637395198492,0
KGHM,10,linear,,0.024798412534553754,all,87183,0,0.0031772249177018457,0.003980133741669821,347,reset,0,0.31459862752485934,-0.018538060477140822,347,347,0.21866988765626572,347,0.29518142798773805,347,7.648414985590778,1643.5609809251803,8.0,795.0,0.972001422295631,87183,210.0,2861.0,2.2940252113370725e-05,4.737593582658661,4.07119539682822,347,347,4.545708619678785,347,4.698776394324201,347,0.9960198662583302,0
KGHM,10,linear,,0.017415379119406982,2017-12-27,22394,0,0.0019201571849602572,0.002456015004018934,55,reset,0,0.08164250228588191,0.7278379189060196,55,55,0.4454489078726134,55,0.24331328908159264,55,7.909090909090909,3158.6020809145307,8.0,1126.0,0.9806644636956328,22394,336.0,14261.400000000038,0.0,2.185535959964703,3.477861269693483,55,55,2.9132085311275695,55,2.5088064440100113,55,0.9975439849959811,0
KGHM,10,linear,,0.021487603305785124,2017-12-28,35090,0,0.0030777999430037046,0.0040752351097178684,143,reset,0,0.2482341647281249,-0.5430388164515134,143,143,-0.0005476483325747413,143,0.2014552899609562,143,7.489510489510489,1164.1572242804218,8.0,717.0,0.9753776004559703,35090,215.0,2165.0,5.699629524080935e-05,3.0748793866128246,1.4924296366242233,143,143,2.577253543752879,143,2.9813490810680596,143,0.9959247648902821,0
KGHM,10,linear,,0.03427724839220176,2017-12-29,29699,0,0.0042425670898010035,0.005017003939526583,149,reset,0,0.46428121187436794,0.20933394783333878,149,149,0.3453494952703936,149,0.40427931642846143,149,7.704697986577181,1067.597057139971,8.0,668.0,0.9614801845179972,29699,160.0,2119.0,0.0,7.275387537576263,6.765134193483135,149,149,7.0374977520796,149,7.155423730316878,149,0.9949829960604735,0
KGHM,10,linear,,0.02643864056065976,all,87183,0,0.0036589702120826306,0.004679811431127628,408,reset,1,0.3276545978597693,-0.14615085411708523,408,408,0.19693547739777462,408,0.40192751603373394,321,7.5,1622.2240459722652,8.0,785.0,0.9698679788490876,87183,200.0,2805.200000000026,3.4410378170056086e-05,4.6404439558118185,3.6926566837747083,408,408,4.37897015104021,408,4.731450277996286,321,0.9953201885688724,0
KGHM,10,linear,,0.01804054657497544,2017-12-27,22394,0,0.0021880860944895955,0.002857908368312941,64,reset,1,0.20981287992476014,0.7314084827448911,64,64,0.38378639536829817,64,0.13678737147188597,49,7.953125,3126.1502634634276,8.0,1102.0,0.9797713673305349,22394,323.0,14067.0,0.0,2.0881427987254026,3.131369425753202,64,64,2.436201587594201,64,1.817244730991386,49,0.9971420916316871,0
KGHM,10,linear,,0.023510971786833857,2017-12-28,35090,0,0.0037902536335138216,0.005186662866913651,182,reset,1,0.2806707312657926,-0.6580651040393726,182,182,0.08515623677525122,182,0.45000631269945734,143,7.318681318681318,1145.7038757480764,8.0,707.0,0.9726132801367912,35090,200.0,2131.0,8.549444286121403e-05,3.1233458375869834,1.2458092266627434,182,182,2.73223567313802,182,3.4466272910372573,143,0.9948133371330864,0
KGHM,10,linear,,0.036230176100205395,2017-12-29,29699,0,0.004612949930974107,0.005454729115458433,162,reset,1,0.4269936945754751,0.08227257752914813,162,162,0.24869697766435322,162,0.4493430134006495,129,7.5246913580246915,1051.2340819556214,8.0,653.0,0.9591568739688205,29699,150.0,2111.0,0.0,7.353154644518307,6.66332718814356,162,162,6.996518688316406,162,7.262657711627148,129,0.9945452708845416,0
KGHM,10,linear,,0.03192136081575536,all,87183,0,0.004737162061411055,0.006125047314269984,534,reset,5,0.16723597178968044,-0.3651355033256984,534,534,0.03038384653027104,534,0.6838562731361153,91,7.644194756554307,1562.199901356916,8.0,746.0,0.9632497161143802,87183,159.0,2675.0,9.17610084534829e-05,3.86234623958346,2.797429322192397,534,534,3.5885145304453037,534,3.7218249525022404,91,0.99387495268573,0
KGHM,10,linear,,0.021434312762347058,2017-12-27,22394,0,0.0029025631865678306,0.004286862552469411,96,reset,5,0.1405907704407065,0.4660530372637184,96,96,0.4902313350200857,96,0.0,11,7.885416666666667,3034.2020630526035,8.0,1060.0,0.9754845047780656,22394,262.0,13567.0,0.00017861927301955882,1.252048156701446,1.9028812459637905,96,96,1.951257251006034,96,0.8046447878471351,11,0.9957131374475305,0
KGHM,10,linear,,0.02884012539184953,2017-12-28,35090,0,0.004901681390709604,0.006611570247933884,232,reset,5,0.1437143739738772,-0.9084067206574489,232,232,-0.1818753440777507,232,1.0048816888956567,42,7.577586206896552,1094.7986890852094,8.0,671.0,0.9661442006269593,35090,161.0,2069.0,0.0001139925904816187,2.6418558058259562,0.5375501341756469,232,232,1.99048954469636,232,1.8000723282850455,42,0.9933884297520661,0
KGHM,10,linear,,0.0434694770867706,2017-12-29,29699,0,0.005926125458769656,0.006936260480150847,206,reset,5,0.20614349617204855,-0.14064607359568826,206,206,0.05513517335570221,206,0.5269971032044451,38,7.606796116504855,1004.5074581635745,8.0,623.0,0.9506043974544598,29699,120.0,2052.0,0.0,6.453328747294208,5.759412753929447,206,206,6.151225673745908,206,6.690314216405616,38,0.9930637395198492,0
KGHM,10,xgboost,,0.024213436105662803,all,87183,0,0.002970762648681509,0.0037163208423660575,324,retain,0,0.25451398149162174,0.007338963219809108,324,324,0.1929017620512696,324,0.26117488291844476,324,7.737654320987654,1636.868655586525,8.0,790.0,0.9727928609935423,87183,210.0,2829.0,2.2940252113370725e-05,4.936648128279853,4.442143067413294,324,324,4.813372951256227,324,4.949982260201533,324,0.9962836791576339,0
KGHM,10,xgboost,,0.01656693757256408,2017-12-27,22394,0,0.0018308475484504778,0.002277395730999375,51,retain,0,0.0441411441895322,0.5218260974623987,51,51,0.21728892870088212,51,0.17458726586543669,51,7.8431372549019605,3147.9004644101096,8.0,1108.5,0.9816022148789855,22394,328.0,14261.400000000038,0.0,1.9207154915042344,2.876132045709155,51,51,2.2671928178439567,51,2.1815310696592554,51,0.9977226042690006,0
KGHM,10,xgboost,,0.021003134796238245,2017-12-28,35090,0,0.0029353092049016812,0.003761755485893417,132,retain,0,0.03353627359201849,-0.5884561610361927,132,132,-0.151910237101219,132,0.10062596366809222,132,7.621212121212121,1160.8815047021944,8.0,710.0,0.9760045597036193,35090,214.0,2177.500000000011,5.699629524080935e-05,2.8260079203517456,1.5820826168532518,132,132,2.4549953795009425,132,2.9602396889841516,132,0.9962382445141066,0
KGHM,10,xgboost,,0.03377218088151116,2017-12-29,29699,0,0.0038721842486279,0.004747634600491599,141,retain,0,0.5374790321664742,0.3790135203504485,141,141,0.5068835945973564,141,0.4427949241294372,141,7.808510638297872,1059.8910737735278,8.0,666.0,0.962355634869861,29699,159.0,2111.0,0.0,8.003435872407989,7.686075986426322,141,141,7.942174556048588,141,7.814074672388413,141,0.9952523653995085,0
KGHM,10,xgboost,,0.02592248488810892,all,87183,0,0.003418097564892238,0.004312767397313696,376,retain,1,0.2372728893228004,-0.13555132524830607,376,376,0.09519316257716993,376,0.29966038760994324,297,7.545212765957447,1617.1882477088423,8.0,779.0,0.9706250071688288,87183,200.0,2778.0,3.4410378170056086e-05,4.929392712631744,4.183597563674893,376,376,4.6451895965653875,376,4.994459278684481,297,0.9956872326026863,0
KGHM,10,xgboost,,0.017415379119406982,2017-12-27,22394,0,0.002098776457979816,0.0026346342770384923,59,retain,1,0.1519770802640875,0.33851261388748566,59,59,-0.0006174441112734735,59,0.050552292313002,44,7.898305084745763,3117.60721621863,8.0,1091.0,0.9804411896043583,22394,323.0,14067.0,4.4654818254889704e-05,1.964495550045618,2.3377744425438483,59,59,1.6595971323434127,59,1.5181136884318092,44,0.9973653657229615,0
