symbol,day,horizon,model,control_seed,latency,interpretation,tail_bin,bins_available,fill_probability_tail_minus_center,markout_5_tail_minus_center
KGHM,2017-12-28,20,xgboost,,5,retain,1,10,-0.01467952330080382,1.3282580449171062
KGHM,2017-12-28,20,xgboost,,5,retain,10,10,-0.014538262799527999,-0.33214108915604057
KGHM,2017-12-28,50,linear,,0,reset,1,10,-0.051754337597324465,0.7415823213685475
KGHM,2017-12-28,50,linear,,0,reset,10,10,-0.04072134750091205,0.4733780318523778
KGHM,2017-12-28,50,linear,,0,retain,1,10,-0.051754337597324465,0.7415823213685475
KGHM,2017-12-28,50,linear,,0,retain,10,10,-0.04072134750091205,0.4733780318523778
KGHM,2017-12-28,50,linear,,1,reset,1,10,-0.05463143348704125,0.6592404941156673
KGHM,2017-12-28,50,linear,,1,reset,10,10,-0.04289226782667991,0.3476960893467234
KGHM,2017-12-28,50,linear,,1,retain,1,10,-0.05463143348704125,0.6592404941156673
KGHM,2017-12-28,50,linear,,1,retain,10,10,-0.04289226782667991,0.3476960893467234
KGHM,2017-12-28,50,linear,,5,reset,1,10,-0.055645301383370704,0.6658849797928076
KGHM,2017-12-28,50,linear,,5,reset,10,10,-0.039216148493120356,0.33790621384141184
KGHM,2017-12-28,50,linear,,5,retain,1,10,-0.055645301383370704,0.6658849797928076
KGHM,2017-12-28,50,linear,,5,retain,10,10,-0.039216148493120356,0.33790621384141184
KGHM,2017-12-28,50,xgboost,,0,reset,1,10,-0.06684958001505806,-0.1149047360513904
KGHM,2017-12-28,50,xgboost,,0,reset,10,10,-0.07132157240193944,-0.5103069023482933
KGHM,2017-12-28,50,xgboost,,0,retain,1,10,-0.06684958001505806,-0.1149047360513904
KGHM,2017-12-28,50,xgboost,,0,retain,10,10,-0.07132157240193944,-0.5103069023482933
KGHM,2017-12-28,50,xgboost,,1,reset,1,10,-0.06575140952183925,-0.1505967807090156
KGHM,2017-12-28,50,xgboost,,1,reset,10,10,-0.07108116439714679,-0.48425397764058764
KGHM,2017-12-28,50,xgboost,,1,retain,1,10,-0.06575140952183925,-0.1505967807090156
KGHM,2017-12-28,50,xgboost,,1,retain,10,10,-0.07108116439714679,-0.48425397764058764
KGHM,2017-12-28,50,xgboost,,5,reset,1,10,-0.059383695812777595,0.08695802102309186
KGHM,2017-12-28,50,xgboost,,5,reset,10,10,-0.05637819136027548,-0.12889330796667242
KGHM,2017-12-28,50,xgboost,,5,retain,1,10,-0.059383695812777595,0.08695802102309186
KGHM,2017-12-28,50,xgboost,,5,retain,10,10,-0.05637819136027548,-0.12889330796667242
KGHM,2017-12-29,10,linear,,0,reset,1,10,-0.0021799770665617483,-1.0432533005172908
KGHM,2017-12-29,10,linear,,0,reset,10,10,-0.00566699760123823,
KGHM,2017-12-29,10,linear,,0,retain,1,10,-0.0021799770665617483,-1.0432533005172908
KGHM,2017-12-29,10,linear,,0,retain,10,10,-0.00566699760123823,
KGHM,2017-12-29,10,linear,,1,reset,1,10,-0.0025643544881908914,-0.7208454094179528
KGHM,2017-12-29,10,linear,,1,reset,10,10,-0.006051375022867373,
KGHM,2017-12-29,10,linear,,1,retain,1,10,-0.0025643544881908914,-0.7208454094179528
KGHM,2017-12-29,10,linear,,1,retain,10,10,-0.006051375022867373,
KGHM,2017-12-29,10,linear,,5,reset,1,10,-0.004536129142206235,-0.9984520806411397
KGHM,2017-12-29,10,linear,,5,reset,10,10,-0.0077018103298856595,-3.0386626575686595
KGHM,2017-12-29,10,linear,,5,retain,1,10,-0.004536129142206235,-0.9984520806411397
KGHM,2017-12-29,10,linear,,5,retain,10,10,-0.0077018103298856595,-3.0386626575686595
KGHM,2017-12-29,10,xgboost,,0,reset,1,10,-0.001508022464064848,0.2120609774670854
KGHM,2017-12-29,10,xgboost,,0,reset,10,10,-0.002497036590313351,1.703485287683681
KGHM,2017-12-29,10,xgboost,,0,retain,1,10,-0.001508022464064848,0.2120609774670854
