symbol,horizon,model,control_seed,adverse_before_fill,bin,day,eligible_decisions,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,linear,,0.028198433420365536,4,2017-12-27,1915,0.0026109660574412533,0.0026109660574412533,5,retain,1,0.44782803403503235,0.8918777676050407,5,5,0.8918777676050407,5,0.0,3,9.2,1201.1169712793733,9.0,788.0,0.9691906005221932,1915,254.0,2422.400000000002,0.0,5.3508343852252995,6.238539667071423,5,5,6.238539667071423,5,2.9775197260688624,3,0.9973890339425587,0
KGHM,10,linear,,0.03169572107765452,5,2017-12-27,1893,0.007395668251452721,0.010036978341257264,19,retain,1,-0.11790228258821774,1.295561160115917,19,19,1.1777116774751193,19,0.0,16,7.578947368421052,755.1024828314844,8.0,694.0,0.9609086106708927,1893,223.0,1236.6,0.0,0.9292681345491897,3.7555634057641467,19,19,3.519864440482551,19,1.1053751882896505,16,0.9899630216587427,0
KGHM,10,linear,,0.019005030743432086,6,2017-12-27,1789,0.0,0.0011179429849077697,2,retain,1,0.0,4.479283314670671,2,2,4.479283314670671,2,0.0,1,9.5,1037.3935159306875,9.5,929.0,0.9809949692565679,1789,243.0,1657.4000000000026,0.0,-4.478280340350324,4.478280340350324,2,2,4.478280340350324,2,-4.478280340350324,1,0.9988820570150923,0
KGHM,10,linear,,0.02441794434980125,7,2017-12-27,1761,0.0028392958546280523,0.003975014196479273,7,retain,1,0.00028736773174348987,0.00028736773174348987,7,7,-0.6393237487096056,7,-0.7462119567580778,6,7.0,1185.8733674048835,7.0,937.0,0.9727427597955707,1761,262.0,2486.0,0.0,0.0002881713719593242,0.0002881713719593242,7,7,-1.279220497299562,7,-0.7460438567911015,6,0.9960249858035207,0
KGHM,10,linear,,0.018604651162790697,8,2017-12-27,1720,0.004069767441860465,0.005232558139534884,9,retain,1,1.7405755604468862,1.7405755604468862,9,9,1.7405755604468862,9,1.5969804728660126,7,7.888888888888889,3118.8156976744185,8.0,1011.0,0.9773255813953489,1720,441.0,14729.0,0.0,2.492398185533271,2.492398185533271,9,9,2.492398185533271,9,1.9227071716970947,7,0.9947674418604651,0
KGHM,10,linear,,0.0040128410914927765,9,2017-12-27,2492,0.0004012841091492777,0.0020064205457463883,5,retain,1,1.3317266098136755,1.3317266098136755,5,5,1.3317266098136755,5,1.4831294030407525,3,8.6,5418.458266452649,9.0,1304.0,0.9955858747993579,2492,500.0,17158.0,0.0,-0.8960573476704548,-0.8960573476704548,5,5,-0.8960573476704548,5,-1.482799525504489,3,0.9979935794542536,0
KGHM,10,linear,,0.0065832784726793945,10,2017-12-27,3038,0.0,0.0,0,retain,1,,,0,0,,0,,0,,8275.35418038183,,5000.5,0.9934167215273206,3038,614.7,16938.0,0.0,,,0,0,,0,,0,1.0,0
KGHM,10,linear,,0.018498367791077257,1,2017-12-28,2757,0.00544069640914037,0.00544069640914037,15,retain,1,-0.7387706855793643,-0.295606493246004,15,15,0.44316419233336024,15,0.001217753877328621,13,6.866666666666666,1900.8904606456292,7.0,734.0,0.9760609357997824,2757,200.0,2214.0,0.0,2.9537734455758846,3.8399054792491034,15,15,5.316792202037802,15,4.092426735868933,13,0.9945593035908596,0
KGHM,10,linear,,0.022678951098511695,2,2017-12-28,2822,0.0031892274982282067,0.0038979447200566974,11,retain,1,1.0081303386192177,1.2092108928441314,11,11,1.813659635590884,11,1.9950255991499724,10,6.454545454545454,1844.293054571226,6.0,784.0,0.97413182140326,2822,180.0,6793.0,0.0,5.645650142720762,6.047722317947947,11,11,7.2560841820477915,11,7.537839959329257,10,0.9961020552799433,0
KGHM,10,linear,,0.02340290955091714,3,2017-12-28,3162,0.006957621758380772,0.008222643896268185,26,retain,1,-0.1713190591390609,0.3393402651063806,26,26,0.16946331105704274,26,0.40204892009225096,22,6.923076923076923,1281.5246679316888,7.0,662.0,0.969639468690702,3162,184.0,3436.0,0.0,2.218664437956718,3.2396816158671675,26,26,2.9000027197130582,26,3.6292962998439777,22,0.9917773561037319,0
KGHM,10,linear,,0.026945201332122314,4,2017-12-28,3303,0.0018165304268846503,0.002119285498032092,7,retain,1,-1.2695576773005517,-1.2694894924182782,7,7,-2.2208122587382646,7,0.7387706855789443,3,9.0,694.45382985165,10.0,534.0,0.9709355131698456,3303,168.0,1420.0,0.0003027550711474417,1.2743763742607481,1.274372371605828,7,7,-0.6275691664358748,7,4.451076904906503,3,0.9978807145019679,0
KGHM,10,linear,,0.04862023653088042,5,2017-12-28,3044,0.007227332457293035,0.011169513797634692,34,retain,1,1.1766009490592855,-0.2589884862280416,34,34,0.9805360086149482,34,1.2336724866394033,27,7.088235294117647,635.8758212877792,8.0,556.0,0.9438239159001314,3044,169.3,1156.2000000000016,0.000328515111695138,3.270717001649228,0.3990746136229409,34,34,2.8784996957078426,34,3.9512167778366027,27,0.9888304862023654,0
KGHM,10,linear,,0.031233732431025507,6,2017-12-28,3842,0.00338365434669443,0.004164497657470068,16,retain,1,0.4166672695399794,-1.5257751865405225,16,16,-0.9733345406887752,16,-0.8540573820046612,13,7.1875,718.1710046850599,7.5,607.0,0.96538261322228,3842,149.0,1428.3000000000006,0.0,6.667297170563972,2.781610264915666,16,16,3.88630325723158,16,4.78830907712702,13,0.9958355023425299,0
