breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
8.12104485264745,monthly,1013830,,0.20512216052000828,-8.12104485264745,4.431163837834035,4.857823925979845,1.1679429111664275,50,5,1.34736666268509e-12,linear,2017-06,1013935,207959,KGHM,,bp
8.058851886301579,monthly,1013830,,0.25223854097827053,-8.058851886301579,4.6088792211761005,5.048252752867191,1.598280087741714,50,0,1.3464784842653899e-12,xgboost,2017-06,1013935,255727,KGHM,,bp
8.291715370778757,monthly,1013830,,0.25223854097827053,-8.291715370778757,4.702896733441547,5.052079456015969,1.4632608186787617,50,1,1.3464784842653899e-12,xgboost,2017-06,1013935,255727,KGHM,,bp
8.74453318104883,monthly,1013830,,0.25223854097827053,-8.74453318104883,4.813332199473893,5.062186500657722,1.1309855190827816,50,5,1.34736666268509e-12,xgboost,2017-06,1013935,255727,KGHM,,bp
,monthly,1013830,7.0,0.0,,,,,50,0,1.34736666268509e-12,xgboost,2017-06,1013935,0,KGHM,no_threshold_selected_rows,bp
,monthly,1013830,7.0,0.0,,,,,50,1,1.34736666268509e-12,xgboost,2017-06,1013935,0,KGHM,no_threshold_selected_rows,bp
,monthly,1013830,7.0,0.0,,,,,50,5,1.34736666268509e-12,xgboost,2017-06,1013935,0,KGHM,no_threshold_selected_rows,bp
6.953277906851772,monthly,916645,,8.182011574819041e-05,-6.953277906851772,3.720355126709346,4.513417728644014,1.2804949485015664,10,0,2.220446049250313e-12,linear,2017-09,916750,75,KGHM,,bp
8.313337950299063,monthly,916645,,8.182011574819041e-05,-8.313337950299063,4.53799992486302,4.593706773817417,0.8183687483814185,10,1,2.220446049250313e-12,linear,2017-09,916750,75,KGHM,,bp
9.629676200558329,monthly,916645,,8.182011574819041e-05,-9.629676200558329,4.564491098030171,4.736690504724985,-0.32849459780320944,10,5,2.220446049250313e-12,linear,2017-09,916750,75,KGHM,,bp
4.939045982942899,monthly,916645,,0.022548532965324636,-4.939045982942899,2.7499346123752324,3.4314363215212844,1.2423249509536067,10,0,2.220446049250313e-12,xgboost,2017-09,916750,20669,KGHM,,bp
5.818518179214429,monthly,916645,,0.022548532965324636,-5.818518179214429,3.189695828918314,3.4402530573609345,0.8114307070648076,10,1,2.220446049250313e-12,xgboost,2017-09,916750,20669,KGHM,,bp
6.344839475471608,monthly,916645,,0.022548532965324636,-6.344839475471608,3.3257526892719387,3.48833078585635,0.46924399965667346,10,5,2.220446049250313e-12,xgboost,2017-09,916750,20669,KGHM,,bp
4.064055188660306,monthly,916435,,0.026125147991947057,-4.064055188660306,2.1958320822545625,3.348382877458602,1.4801597710528382,20,0,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
4.5086003048231476,monthly,916435,,0.026125147991947057,-4.5086003048231476,2.4309804092172214,3.378486409350156,1.3008665137442106,20,1,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
5.203525640961659,monthly,916435,,0.026125147991947057,-5.203525640961659,2.7328465031375484,3.4879554043211187,1.0172762664969952,20,5,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
5.03063482708366,monthly,916435,,0.07259325538636129,-5.03063482708366,2.8261949059656164,3.575574032409247,1.371134111291183,20,0,2.220446049250313e-12,xgboost,2017-09,916540,66527,KGHM,,bp
5.466948845591987,monthly,916435,,0.07259325538636129,-5.466948845591987,3.03617526956985,3.5918385047850787,1.1610649287629238,20,1,2.220446049250313e-12,xgboost,2017-09,916540,66527,KGHM,,bp
