breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
4.523508493173621,monthly,916540,,0.02612215506142667,-4.523508493173621,2.4309804092172214,3.3483684936018183,1.2558404096453981,20,1,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
5.2548451883165965,monthly,916540,,0.02612215506142667,-5.2548451883165965,2.7328465031375484,3.3483448279422503,0.82634614276319,20,5,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
5.030765408788837,monthly,916540,,0.07259475854845397,-5.030765408788837,2.826218145937001,3.575589763421051,1.3710425005691937,20,0,2.220446049250313e-12,xgboost,2017-09,916540,66536,KGHM,,bp
5.479832979626164,monthly,916540,,0.07259475854845397,-5.479832979626164,3.036201372288468,3.575584214888243,1.1319526075505293,20,1,2.220446049250313e-12,xgboost,2017-09,916540,66536,KGHM,,bp
6.105537170899698,monthly,916540,,0.07259475854845397,-6.105537170899698,3.2262948758513894,3.5755775347822425,0.6963352397339202,20,5,2.220446049250313e-12,xgboost,2017-09,916540,66536,KGHM,,bp
4.27999018983279,monthly,832293,,0.029667436828136245,-4.27999018983279,2.352827966606685,3.5283842803994614,1.6012220571733569,20,0,1.3482548411047901e-12,linear,2017-11,832293,24692,KGHM,,bp
4.79779444641838,monthly,832293,,0.029667436828136245,-4.79779444641838,2.6178790526309776,3.528386743048486,1.3484713492610845,20,1,1.3482548411047901e-12,linear,2017-11,832293,24692,KGHM,,bp
5.566732136100169,monthly,832293,,0.029667436828136245,-5.566732136100169,2.9271800936880843,3.5284082731348754,0.8888562307227951,20,5,1.3482548411047901e-12,linear,2017-11,832293,24692,KGHM,,bp
5.277284056896231,monthly,832293,,0.08594929910500268,-5.277284056896231,2.965567201303911,3.758315106894866,1.446598251302538,20,0,1.3482548411047901e-12,xgboost,2017-11,832293,71535,KGHM,,bp
5.746889978505771,monthly,832293,,0.08594929910500268,-5.746889978505771,3.1853874410631917,3.7583159688205168,1.1968134313779302,20,1,1.3482548411047901e-12,xgboost,2017-11,832293,71535,KGHM,,bp
