kind,scope,symbol,period,model,feature_group,shuffle,seed,horizon,task_id,day,ic,label_mean_bps,label_std_bps,prediction_mean_bps,prediction_std_bps,rows,undefined_reason
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-14,0.021172200150517646,-0.10127210686630238,2.3449675099530074,0.007433592585853649,0.011004274994030585,39330,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-16,0.016954388286335557,0.016608631929561638,1.56544354352813,0.007883338321594515,0.010611575324303043,44640,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-19,0.05925026897538883,-0.027573350256308,2.987387617695818,0.007675079362098054,0.015773110570811804,58145,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-20,0.046231600018421797,1.30118123569107e-05,2.4323449214296815,0.006883211116734947,0.01807446325680873,31522,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-21,0.008647165615626538,0.014043305351857206,2.674286595428602,0.004602116116484728,0.015053753217893128,80180,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-22,0.03371264816620082,-0.0026832176426108954,2.195627099270153,0.007356385182648936,0.014563521382676156,59805,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-23,0.024099791367951446,0.010344196458899646,2.7101101299318664,0.006341706194240066,0.014939227089149512,51767,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-26,0.027257386983866174,0.030238537169657673,1.7097091030600966,0.009386779292855613,0.012433472809859522,25688,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-27,0.011457651920415042,0.05511489859010638,2.1055281670008816,0.0049159167640614974,0.010135368620845932,43181,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-28,-0.00203218527760863,-0.01082573071752257,2.129376826114875,0.005597706742849807,0.010880631531986835,55324,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-29,0.015435965105060198,-0.08688543819149921,2.024571319970085,0.0050216296729549085,0.011137986557599927,49531,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,43,20,4b6e207b9dabaacc2d2c87c75fc7ebd969554a4328c4f074c132d4da528fbcfe,2017-06-30,0.06575526052496211,-0.03420234397187181,2.0447878394225696,0.005833841577493536,0.013279608533761379,60218,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-01,0.025678101903962473,0.04136386637090247,2.305825408842314,0.0057841355367551145,0.011281518344322063,37200,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-02,0.018563931077085503,0.0029458176609071626,1.8322732169766913,0.010796226521938769,0.009846355254512506,28483,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-05,0.06911396887668823,-0.07116110741460968,2.6166699843027925,0.006212867392771697,0.013861695342424105,40516,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-06,0.04851497583407007,-0.03430663298590677,2.4656976109754747,0.0070998963615599466,0.013656651552766838,53671,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-07,0.02713385143944395,-0.03749049128386694,2.103791967573465,0.01013491384982859,0.011938366443407428,35665,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-08,0.07849642248269088,0.06803382897417344,2.116258414804265,0.0064127072754145585,0.013274511578503229,45460,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-09,0.0402334999894509,-0.021356677720073623,2.4139864078741686,0.008805475032729859,0.01812829822274529,34663,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-12,0.05476218235113542,-0.020155842576751147,2.3810756338388406,0.008025010735874687,0.014040197111324091,41860,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-13,-0.0038113235889591763,0.009741529256401645,2.3186690076985514,0.00815436070735556,0.018551577491905856,53404,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-14,0.03507749222539419,-0.10127210686630238,2.3449675099530074,0.007277228594369269,0.011689523543869483,39330,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-16,0.021952286814602002,0.016608631929561638,1.56544354352813,0.010171122148221586,0.01086969990712812,44640,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-19,0.04036374738637436,-0.027573350256308,2.987387617695818,0.007308806675901194,0.015940293724728424,58145,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-20,0.011605352982068683,1.30118123569107e-05,2.4323449214296815,0.008618826689924537,0.019167356950581145,31522,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-21,0.01089355749549727,0.014043305351857206,2.674286595428602,0.004791158333556189,0.019201683502842126,80180,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-22,0.06220193146014514,-0.0026832176426108954,2.195627099270153,0.008067124739912035,0.015173177946918196,59805,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-23,0.040068569188812714,0.010344196458899646,2.7101101299318664,0.007114987824479762,0.014690522128165908,51767,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-26,-0.0210681390773913,0.030238537169657673,1.7097091030600966,0.009857977346318613,0.013001237483131242,25688,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-27,0.007962779145791412,0.05511489859010638,2.1055281670008816,0.004715389871505419,0.010696807216276074,43181,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-28,-0.0021662827713687643,-0.01082573071752257,2.129376826114875,0.006364073917970606,0.011015204228792617,55324,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-29,0.04394162069110186,-0.08688543819149921,2.024571319970085,0.004861960477766515,0.011502931320091876,49531,
control,transfer_june,PZU,2017-06,xgboost,F5,S0,71,20,371b9d9166fcb46a4d860cf2cebcc7e73687e2327b72e3ecc9ff53065fc6c63d,2017-06-30,0.08527282515689219,-0.03420234397187181,2.0447878394225696,0.005301688598575645,0.01306078458512442,60218,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-01,-0.026495132103601212,0.04136386637090247,2.305825408842314,0.004131471085730159,0.008369761065713311,37200,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-02,0.045570543291159185,0.0029458176609071626,1.8322732169766913,0.003922214413141389,0.007465544011088843,28483,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-05,-0.01704787877763761,-0.07116110741460968,2.6166699843027925,0.004288612437764214,0.010538270084776136,40516,
