model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,20,1,gross_midpoint_bps,20,20,0.7744105079660529,0.8564306854486904,20,0.7744105079660529,monthly,fixed_exit
linear,20,5,gross_midpoint_bps,20,20,0.5473866609811895,0.5943688256278679,18,0.5473866609811895,monthly,fixed_exit
xgboost,20,0,gross_midpoint_bps,20,20,1.3203569681896503,1.2879308368266513,20,1.3203569681896503,monthly,fixed_exit
xgboost,20,1,gross_midpoint_bps,20,20,1.0605589085819038,1.0444874666500619,20,1.0605589085819038,monthly,fixed_exit
xgboost,20,5,gross_midpoint_bps,20,20,0.6249952172415042,0.6236040422729399,20,0.6249952172415042,monthly,fixed_exit
linear,20,0,entry_half_spread_bps,20,20,2.5245802103575707,2.4690658516268096,20,2.5245802103575707,monthly,fixed_exit
linear,20,1,entry_half_spread_bps,20,20,2.9166383626963697,2.824200573791466,20,2.9166383626963697,monthly,fixed_exit
linear,20,5,entry_half_spread_bps,20,20,3.2045224221015554,3.0520148882891904,20,3.2045224221015554,monthly,fixed_exit
xgboost,20,0,entry_half_spread_bps,20,20,3.019141767796488,3.0478979332381764,20,3.019141767796488,monthly,fixed_exit
xgboost,20,1,entry_half_spread_bps,20,20,3.227869666002666,3.2068907626079417,20,3.227869666002666,monthly,fixed_exit
xgboost,20,5,entry_half_spread_bps,20,20,3.3961644590869122,3.394256000312714,20,3.3961644590869122,monthly,fixed_exit
linear,20,0,exit_half_spread_bps,20,20,3.640370811609506,3.5642883270211003,20,3.640370811609506,monthly,fixed_exit
linear,20,1,exit_half_spread_bps,20,20,3.640363456602226,3.5642812984378818,20,3.640363456602226,monthly,fixed_exit
linear,20,5,exit_half_spread_bps,20,20,3.6404366751373325,3.5642737808180467,20,3.6404366751373325,monthly,fixed_exit
xgboost,20,0,exit_half_spread_bps,20,20,3.6640082930969236,3.6776361655517666,20,3.6640082930969236,monthly,fixed_exit
xgboost,20,1,exit_half_spread_bps,20,20,3.6640084861835414,3.6776334465150837,20,3.6640084861835414,monthly,fixed_exit
xgboost,20,5,exit_half_spread_bps,20,20,3.664007952872899,3.67762335180461,20,3.664007952872899,monthly,fixed_exit
linear,20,0,crossed_bps,20,20,-5.113115249576354,-4.783266381701218,0,-5.113115249576354,monthly,fixed_exit
linear,20,1,crossed_bps,20,20,-5.782591311332524,-5.387976811402718,0,-5.782591311332524,monthly,fixed_exit
linear,20,5,crossed_bps,20,20,-6.297572436257677,-5.969019780302348,0,-6.297572436257677,monthly,fixed_exit
xgboost,20,0,crossed_bps,20,20,-5.362793092703754,-5.381749739731484,0,-5.362793092703754,monthly,fixed_exit
xgboost,20,1,crossed_bps,20,20,-5.831319243604296,-5.828206088490529,0,-5.831319243604296,monthly,fixed_exit
xgboost,20,5,crossed_bps,20,20,-6.435177194718304,-6.456439038433338,0,-6.435177194718304,monthly,fixed_exit
linear,20,0,coverage,20,20,0.02428437988006528,0.00296941984945295,20,0.02428437988006528,monthly,fixed_exit
linear,20,1,coverage,20,20,0.02428437988006528,0.00296941984945295,20,0.02428437988006528,monthly,fixed_exit
linear,20,5,coverage,20,20,0.02428437988006528,0.00296941984945295,20,0.02428437988006528,monthly,fixed_exit
xgboost,20,0,coverage,20,20,0.06874630046829529,0.06783977752194284,20,0.06874630046829529,monthly,fixed_exit
xgboost,20,1,coverage,20,20,0.06874630046829529,0.06783977752194284,20,0.06874630046829529,monthly,fixed_exit
xgboost,20,5,coverage,20,20,0.06874630046829529,0.06783977752194284,20,0.06874630046829529,monthly,fixed_exit
linear,10,0,gross_midpoint_bps,5,4,,,4,3.068171157816645,later,moving_exit
linear,10,1,gross_midpoint_bps,5,4,,,2,0.40847746425809683,later,moving_exit
linear,10,5,gross_midpoint_bps,5,4,,,1,-0.08274359322658403,later,moving_exit
linear,20,0,gross_midpoint_bps,5,5,1.4670941414570138,1.1573317641244425,4,1.4670941414570138,later,moving_exit
linear,20,1,gross_midpoint_bps,5,5,0.5789957362926688,0.7735388000114748,4,0.5789957362926688,later,moving_exit
linear,20,5,gross_midpoint_bps,5,5,0.44562858661084237,0.5701254275943624,4,0.44562858661084237,later,moving_exit
