model,horizon,latency,interpretation,metric,expected,defined,mean,median,positive,available_case_mean,cohort
linear,10,5,reset,passive_price_markout_5_bps,20,20,2.0466566212550004,1.9849889431499999,20,2.0466566212550004,monthly
linear,10,5,retain,passive_price_markout_5_bps,20,20,2.0466566212550004,1.9849889431499999,20,2.0466566212550004,monthly
linear,20,0,reset,passive_price_markout_5_bps,20,20,2.1788996923025,2.093372531875,20,2.1788996923025,monthly
linear,20,0,retain,passive_price_markout_5_bps,20,20,2.1788996923025,2.093372531875,20,2.1788996923025,monthly
linear,20,1,reset,passive_price_markout_5_bps,20,20,2.1620537349825,2.09820576585,20,2.1620537349825,monthly
linear,20,1,retain,passive_price_markout_5_bps,20,20,2.1620537349825,2.09820576585,20,2.1620537349825,monthly
linear,20,5,reset,passive_price_markout_5_bps,20,20,2.0816356405249996,2.02177512855,20,2.0816356405249996,monthly
linear,20,5,retain,passive_price_markout_5_bps,20,20,2.0816356405249996,2.02177512855,20,2.0816356405249996,monthly
linear,50,0,reset,passive_price_markout_5_bps,20,20,2.42437443842,2.290667633275,20,2.42437443842,monthly
linear,50,0,retain,passive_price_markout_5_bps,20,20,2.42437443842,2.290667633275,20,2.42437443842,monthly
linear,50,1,reset,passive_price_markout_5_bps,20,20,2.4214344378975,2.309818428,20,2.4214344378975,monthly
linear,50,1,retain,passive_price_markout_5_bps,20,20,2.4214344378975,2.309818428,20,2.4214344378975,monthly
linear,50,5,reset,passive_price_markout_5_bps,20,20,2.39875799682,2.317965285525,20,2.39875799682,monthly
linear,50,5,retain,passive_price_markout_5_bps,20,20,2.39875799682,2.317965285525,20,2.39875799682,monthly
xgboost,10,0,reset,passive_price_markout_5_bps,20,20,2.2742512423825003,2.152815779875,20,2.2742512423825003,monthly
xgboost,10,0,retain,passive_price_markout_5_bps,20,20,2.2742512423825003,2.152815779875,20,2.2742512423825003,monthly
xgboost,10,1,reset,passive_price_markout_5_bps,20,20,2.2110938474175006,2.1212251716,20,2.2110938474175006,monthly
xgboost,10,1,retain,passive_price_markout_5_bps,20,20,2.2110938474175006,2.1212251716,20,2.2110938474175006,monthly
xgboost,10,5,reset,passive_price_markout_5_bps,20,20,2.0589268628474997,2.012954260225,20,2.0589268628474997,monthly
xgboost,10,5,retain,passive_price_markout_5_bps,20,20,2.0589268628474997,2.012954260225,20,2.0589268628474997,monthly
xgboost,20,0,reset,passive_price_markout_5_bps,20,20,2.22793702063,2.1537089538750003,20,2.22793702063,monthly
xgboost,20,0,retain,passive_price_markout_5_bps,20,20,2.22793702063,2.1537089538750003,20,2.22793702063,monthly
xgboost,20,1,reset,passive_price_markout_5_bps,20,20,2.204279483155,2.1395762340499997,20,2.204279483155,monthly
xgboost,20,1,retain,passive_price_markout_5_bps,20,20,2.204279483155,2.1395762340499997,20,2.204279483155,monthly
xgboost,20,5,reset,passive_price_markout_5_bps,20,20,2.109358131995,2.046096451375,20,2.109358131995,monthly
xgboost,20,5,retain,passive_price_markout_5_bps,20,20,2.109358131995,2.046096451375,20,2.109358131995,monthly
xgboost,50,0,reset,passive_price_markout_5_bps,20,20,2.4776017791500005,2.3512076397249997,20,2.4776017791500005,monthly
xgboost,50,0,retain,passive_price_markout_5_bps,20,20,2.4776017791500005,2.3512076397249997,20,2.4776017791500005,monthly
xgboost,50,1,reset,passive_price_markout_5_bps,20,20,2.4698513175249994,2.3618154737,20,2.4698513175249994,monthly
xgboost,50,1,retain,passive_price_markout_5_bps,20,20,2.4698513175249994,2.3618154737,20,2.4698513175249994,monthly
xgboost,50,5,reset,passive_price_markout_5_bps,20,20,2.4381079244074995,2.35693404415,20,2.4381079244074995,monthly
xgboost,50,5,retain,passive_price_markout_5_bps,20,20,2.4381079244074995,2.35693404415,20,2.4381079244074995,monthly
linear,10,0,reset,fill_probability,5,5,0.005170244090560999,0.0041504825991504,5,0.005170244090560999,later
linear,10,0,retain,fill_probability,5,5,0.005170244090560999,0.0041504825991504,5,0.005170244090560999,later
linear,10,1,reset,fill_probability,5,5,0.0061344214208566596,0.004871458449707,5,0.0061344214208566596,later
linear,10,1,retain,fill_probability,5,5,0.0061344214208566596,0.004871458449707,5,0.0061344214208566596,later
