task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,2,3,135840,0.1438090152885119,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,3,1,126628,0.0628749256116329,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,3,2,158299,0.0608740180880949,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,3,3,158449,0.1032267315283309,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,1,1,87337,0.0965658543106062,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,1,2,75699,0.1122500505320449,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,1,3,102602,0.1288593553528429,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,2,1,115561,0.0926927643795937,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,2,2,138561,0.0936625585992342,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,2,3,135840,0.11805934758921,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,3,1,126628,0.0662025832616976,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,3,2,158299,0.0572891598253503,
9cdceedb9861fc0f604eef9d1e935f307833dc340a29830eb774923bdc6a39c1,KGHM,2017-04,xgboost,F4,3,3,158449,0.1000354598674993,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,1,1,87337,0.1463878298599215,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,1,2,75699,0.1651317376089176,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,1,3,102602,0.1803490943457004,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,2,1,115561,0.1309616940449584,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,2,2,138561,0.1232135990685992,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,2,3,135840,0.149591193660794,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,3,1,126628,0.0730784125165089,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,3,2,158299,0.0639319020050398,
12b5398b11d65932ae2f3b5a82ca633d7161afdfbfec2f002575925872a840d9,KGHM,2017-04,xgboost,F5,3,3,158449,0.1060902269523745,
