scope,symbol,shuffle,metric,expected,defined,mean,median,positive,available_case_mean
transfer_june,PKOBP,S0,mean_day_prediction_label_ic,5,5,0.28935064935064936,0.3181818181818181,5,0.28935064935064936
transfer_june,PKOBP,S1,ic,5,5,-0.006446200078511126,-0.0025946400695047297,2,-0.006446200078511126
transfer_june,PKOBP,S1,daily_ic,5,5,-0.007079950190944341,-0.0047624037906074815,2,-0.007079950190944341
transfer_june,PKOBP,S1,mean_day_prediction_label_ic,5,5,0.07402597402597402,0.17792207792207793,4,0.07402597402597402
transfer_june,PZU,S0,ic,5,5,0.03849824306429487,0.03460479946079817,5,0.03849824306429487
transfer_june,PZU,S0,daily_ic,5,5,0.03905420177510488,0.03532812583171797,5,0.03905420177510488
transfer_june,PZU,S0,mean_day_prediction_label_ic,5,5,0.07324675324675324,0.08181818181818182,4,0.07324675324675324
transfer_june,PZU,S1,ic,5,5,-0.004765011302269605,-0.003925612515827439,2,-0.004765011302269605
transfer_june,PZU,S1,daily_ic,5,5,-0.004171856658946968,-0.0013272966376851958,2,-0.004171856658946968
transfer_june,PZU,S1,mean_day_prediction_label_ic,5,5,-0.01636363636363636,-0.02727272727272727,2,-0.01636363636363636
