scope,shuffle,metric,level,expected,defined,mean,median,positive,available_case_mean,min_seed_mean,max_seed_mean,seed
own_june,S1,daily_ic,five_seed_distribution,5,5,0.001375997053244871,-0.0013364345986638213,2,0.001375997053244871,-0.015592887803617622,0.01753707142324602,
transfer_june,S0,daily_ic,five_seed_distribution,5,5,0.05902851819975199,0.05802088625109768,5,0.05902851819975199,0.0416477356807737,0.07164036280266037,
transfer_june,S1,daily_ic,five_seed_distribution,5,5,-0.00537053998093226,-0.00422600108122514,2,-0.00537053998093226,-0.025111716114040523,0.016029176449953865,
later,S0,daily_ic,five_stock_mean,5,5,0.04485833684870516,0.0191382397956619,3,0.04485833684870516,,,7.0
later,S0,daily_ic,five_stock_mean,5,5,0.0509781063059772,0.0197235166392607,5,0.0509781063059772,,,17.0
later,S0,daily_ic,five_stock_mean,5,5,0.054055332195666564,0.0409718602372011,5,0.054055332195666564,,,29.0
later,S0,daily_ic,five_stock_mean,5,5,0.06869024136148996,0.0701100252831683,5,0.06869024136148996,,,43.0
later,S0,daily_ic,five_stock_mean,5,5,0.04606193992437184,0.0315254568167361,4,0.04606193992437184,,,71.0
later,S1,daily_ic,five_stock_mean,5,5,-0.022860935138247857,-0.0198837268757236,1,-0.022860935138247857,,,7.0
later,S1,daily_ic,five_stock_mean,5,5,-0.00791051914412426,-0.0099143901857228,1,-0.00791051914412426,,,17.0
later,S1,daily_ic,five_stock_mean,5,5,0.0260732547894602,0.0145918201169702,4,0.0260732547894602,,,29.0
later,S1,daily_ic,five_stock_mean,5,5,-0.025811243436196042,-0.0227574750094532,1,-0.025811243436196042,,,43.0
later,S1,daily_ic,five_stock_mean,5,5,-0.00279580676071668,0.0070769102549591,3,-0.00279580676071668,,,71.0
own_june,S0,daily_ic,five_stock_mean,5,5,0.03815440732442812,0.0188275022780222,5,0.03815440732442812,,,7.0
own_june,S0,daily_ic,five_stock_mean,5,5,0.02648822029976644,0.0101798943488239,4,0.02648822029976644,,,17.0
own_june,S0,daily_ic,five_stock_mean,5,5,0.04507567694199578,0.0223801237642395,5,0.04507567694199578,,,29.0
own_june,S0,daily_ic,five_stock_mean,5,5,0.02130151236090076,0.0125951598869951,3,0.02130151236090076,,,43.0
own_june,S0,daily_ic,five_stock_mean,5,5,0.03401610648011746,0.0225834919266217,4,0.03401610648011746,,,71.0
own_june,S1,daily_ic,five_stock_mean,5,5,0.01753707142324602,0.01743855268259,4,0.01753707142324602,,,7.0
own_june,S1,daily_ic,five_stock_mean,5,5,0.00806215255171668,-0.0053313207616724,2,0.00806215255171668,,,17.0
own_june,S1,daily_ic,five_stock_mean,5,5,-0.0013364345986638213,-0.0091406181701714,2,-0.0013364345986638213,,,29.0
own_june,S1,daily_ic,five_stock_mean,5,5,-0.0017899163064568993,0.0006136929356491,3,-0.0017899163064568993,,,43.0
own_june,S1,daily_ic,five_stock_mean,5,5,-0.015592887803617622,-0.0045014580938004,2,-0.015592887803617622,,,71.0
transfer_june,S0,daily_ic,five_stock_mean,5,5,0.07164036280266037,0.0698932458375584,5,0.07164036280266037,,,7.0
transfer_june,S0,daily_ic,five_stock_mean,5,5,0.05802088625109768,0.0624290948211497,5,0.05802088625109768,,,17.0
transfer_june,S0,daily_ic,five_stock_mean,5,5,0.06877197474593184,0.0611968225489767,5,0.06877197474593184,,,29.0
transfer_june,S0,daily_ic,five_stock_mean,5,5,0.05506163151829639,0.054936154329158,5,0.05506163151829639,,,43.0
transfer_june,S0,daily_ic,five_stock_mean,5,5,0.0416477356807737,0.0330853024315946,5,0.0416477356807737,,,71.0
