task_id,symbol,month,horizon,model,control_seed,cost_coverage,direction_accuracy,ic,mean_abs_markout_bps,mean_signed_markout_after_cost_bps,n_test,prediction_decile_monotonicity,selected_midpoint_diagnostic_bps,train_rows
2b3c1a66971be4f8c3846f88de3cd8d44d114e225f5d2eda797482ec95938bd3,PEKAO,2017-06,20,linear,,0.11302583508497623,0.653359940710502,0.26785221027594847,1.5556662259484149,0.2300473905851765,657478,1.0,1.2300473905851765,3179866
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,0.14984075512792824,0.6560692763765369,0.2741207864834555,1.5556662259484149,0.2377332313042435,657478,1.0,1.2377332313042435,3179866
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,0.0,0.5009324731496331,0.010898420846860057,1.5556662259484149,,657478,0.6666666666666666,,3179866
fb080d4785c680a88203c7c02664144d509ba87f4951c6dd31fd15b95bd48e71,PEKAO,2017-06,20,xgboost,17.0,0.0,0.4966528162511542,-0.004558677284335746,1.5556662259484149,,657478,0.3333333333333333,,3179866
4e8e6029c4553ccccb937b6c4e8add6ff885f48688ef52a9c29b0f33f1b85e75,PEKAO,2017-06,20,xgboost,29.0,0.0,0.526124435048841,0.052781354462752374,1.5556662259484149,,657478,0.7777777777777778,,3179866
2d0fa900077ab97a99f95c4c00a8a5fd28cf1f15d83114be06f4adceb145b0ea,PEKAO,2017-06,50,hist_gradient_boosting,,0.34487887608700946,0.6210262881177707,0.25490859551227196,2.731325460540476,0.32014618186778543,656848,1.0,1.320146181867785,3176776
2f91505a344bcba5d7032276cbbe77052d3eab6d58b394ffcc5281919c8cbb18,PEKAO,2017-06,50,linear,,0.3736663581224271,0.6204731861198738,0.25081692960598817,2.731325460540476,0.24872136341524603,656848,1.0,1.2487213634152459,3176776
2618e214b8212b86eb4554455c5d9984d94a090ecaf5364283188e64f4559e07,PEKAO,2017-06,50,xgboost,,0.35611587460112537,0.6192323869610936,0.25423453308428734,2.731325460540476,0.3031817576955462,656848,1.0,1.303181757695546,3176776
5c78a13bd2e20d426311f27f8e62c94ce8b52350005d3cda76629b05380a7137,PEKAO,2017-06,50,xgboost,7.0,0.0,0.5173438485804417,0.04568502168909696,2.731325460540476,,656848,0.6666666666666666,,3176776
b9d450b2855b7b17a20cff074087b07969e48b5d302d155874d53549d00e2f46,PEKAO,2017-09,10,linear,,0.0001187792462961909,0.6744732595066154,0.24955016988744932,0.9376479906550466,0.48454026088514857,404111,1.0,1.4845402608851488,4669332
