task_id,symbol,month,horizon,model,control_seed,feature,normalized_gain
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,ofi_l1_norm,0.19983213550015963
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,spread_bps,0.19626233322947834
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,top_imbalance,0.2012988965608737
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,depth_imbalance,0.03538310428936585
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,microprice_minus_mid_bps,0.28506013873011404
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,ofi_l1_norm,0.13961444286088784
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,spread_bps,0.06207843825089919
7321a4467d3c62cb9c23afccca7da107bd51b5c31c27ca2c1f582631ff52d518,PEKAO,2017-06,20,xgboost,,top_imbalance,0.4778638758687331
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,depth_imbalance,0.20378282418523314
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,microprice_minus_mid_bps,0.19834523624622993
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,ofi_l1_norm,0.19945982428046846
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,spread_bps,0.199794332283188
14ab6e0cf2b31cc0c6674620ccd6a9f9a342a9e0ec1a824844ea8ae68e4015f7,PEKAO,2017-06,20,xgboost,7.0,top_imbalance,0.19861778300488045
fb080d4785c680a88203c7c02664144d509ba87f4951c6dd31fd15b95bd48e71,PEKAO,2017-06,20,xgboost,17.0,depth_imbalance,0.20707558037141358
