symbol,model,horizon,control_seed,ic,direction_accuracy,cost_coverage,selected_midpoint_diagnostic_bps,prediction_decile_monotonicity,symbol_month_blocks
PEKAO,xgboost,50,7.0,0.04568502168909696,0.5173438485804417,0.0,,0.6666666666666666,1
PEKAO,xgboost,50,,0.2415422167003486,0.6132204868173171,0.33393756248084655,1.3333000546604863,1.0,4
PKNORLEN,hist_gradient_boosting,10,,0.2736384978169118,0.7015177476592255,0.004457882968987129,2.17282788731924,1.0,1
PKNORLEN,hist_gradient_boosting,20,,0.3095241422463908,0.681422898453002,0.0406417298199263,2.117882058985958,1.0,1
PKNORLEN,hist_gradient_boosting,50,,0.3064392305321598,0.6460215879794797,0.2606227169942599,1.916992920637059,1.0,1
PKNORLEN,linear,10,,0.2594855158633813,0.6994391873199766,1.7893202016510284e-05,1.7586992951886826,1.0,4
PKNORLEN,linear,20,,0.2827806840138644,0.6721652331114545,0.0072807010586139346,1.083267288637103,1.0,4
PKNORLEN,linear,50,,0.278048614912235,0.6358514934491311,0.19422104162579304,1.7218718025259212,1.0,4
PKNORLEN,xgboost,10,7.0,0.056002412585847657,0.5456745409808109,0.0,,0.8888888888888888,1
PKNORLEN,xgboost,10,,0.272471073376872,0.7033234125420846,0.020478233651246014,1.6382269230720379,1.0,4
PKNORLEN,xgboost,20,7.0,0.09222840639994086,0.5562038197545289,0.0,,1.0,1
PKNORLEN,xgboost,20,,0.2932809248141415,0.6752260768043623,0.06641347361295803,1.6965842316119584,1.0,4
PKNORLEN,xgboost,50,7.0,0.09061350464364713,0.5439376578734929,0.0,,0.8888888888888888,1
PKNORLEN,xgboost,50,,0.28612312028627906,0.6384191999515577,0.24205772476336998,1.6993552555996705,1.0,4
PKOBP,hist_gradient_boosting,10,,0.23369139104251518,0.6834818969980576,0.002884216103884391,1.617679797370821,1.0,1
PKOBP,hist_gradient_boosting,20,,0.2657276364888288,0.6691927618760563,0.022825877088373255,1.4579653844910783,1.0,1
PKOBP,hist_gradient_boosting,50,,0.2733542254883175,0.6382840306751457,0.2028046829102378,1.4069100441888893,1.0,1
PKOBP,linear,10,,0.2156610390059459,0.6762282053735532,1.4882286691301735e-05,0.3151076221853635,1.0,4
PKOBP,linear,20,,0.2500094134063343,0.6588088575106232,0.0002641939214511092,0.7996627765375808,1.0,4
PKOBP,linear,50,,0.25989984467311333,0.6276433592183461,0.22107846571035158,1.2488790268979504,1.0,4
PKOBP,xgboost,10,7.0,0.002518938069551011,0.5021649732717314,0.0,,0.4444444444444444,1
PKOBP,xgboost,10,,0.22103941763492,0.6792950950577584,0.012455034051185237,1.183181654828911,1.0,4
PKOBP,xgboost,20,7.0,0.04060363337291464,0.5245745287791855,0.0,,1.0,1
PKOBP,xgboost,20,,0.2527595675650023,0.6606922039601751,0.04263849259697001,1.1931004844938735,1.0,4
PKOBP,xgboost,50,7.0,0.04530749230077798,0.5208728903872005,0.0,,1.0,1
PKOBP,xgboost,50,,0.26225167763246154,0.6292491119391451,0.21795532052097194,1.2806232276989193,1.0,4
PZU,hist_gradient_boosting,10,,0.1999712675500332,0.6424631467386068,0.003028451368058339,1.2890017486909469,1.0,1
