adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0408944326,,1098976,0.0134598026,0.0156946103,17248,20,reset,0,-0.1640877481,-0.4328494769,17248,17248,-0.2627815735,17248,-0.2473170099,17248,14.2364911874,806.9206615977,15.0,607.0,xgboost,2017-04,0.9450088082,1098976,182.0,1583.0,0.0006369566,4.4279437127,3.8903686796,17248,17248,4.2305623147,17248,4.261460517,17248,KGHM,0.9843053897,0
0.0435095944,,1098976,0.0154980637,0.0181086757,19901,20,reset,1,-0.0821412769,-0.3462686154,19901,19901,-0.1549715783,19901,-0.1575667041,18114,13.7649866841,810.0699887896,14.0,611.0,linear,2017-04,0.9403117084,1098976,177.0,1590.0,0.0006806336,4.2999496486,3.7716811676,19901,19901,4.1542931827,19901,4.1036152812,18114,KGHM,0.9818913243,0
0.0428890167,,1098976,0.0146973182,0.0172051073,18908,20,reset,1,-0.1274659993,-0.3953087739,18908,18908,-0.218478252,18908,-0.1937421113,17142,13.971281997,798.7540919911,15.0,600.5,xgboost,2017-04,0.9417321215,1098976,172.0,1575.0,0.0006815435,4.4085523702,3.8728216244,18908,18908,4.2265375701,18908,4.2396030724,17142,KGHM,0.9827948927,0
0.0486289055,,1098976,0.0181805608,0.0213571543,23471,20,reset,5,-0.0563240623,-0.309286051,23471,23471,-0.1219272247,23471,-0.0047026486,14132,13.473094457,783.4848031258,14.0,586.0,linear,2017-04,0.9324225461,1098976,150.0,1566.0,0.0007679877,4.2800281225,3.7740784988,23471,23471,4.1488060283,23471,4.1642963809,14132,KGHM,0.9786428457,0
0.0482722098,,1098976,0.0174416912,0.0205727878,22609,20,reset,5,-0.0891937932,-0.353532782,22609,22609,-0.1794904793,22609,-0.0407277487,13289,13.6678756248,774.2768832076,14.0,577.0,xgboost,2017-04,0.933509012,1098976,150.0,1550.0,0.000777087,4.3538168192,3.8250952421,22609,22609,4.1732169671,22609,4.2254022372,13289,KGHM,0.9794272122,0
0.1029563853,,1098436,0.0630596594,0.0758086953,83271,50,reset,0,-0.2592012644,-0.6527284687,83271,83271,-0.489439734,83271,-0.8226728088,83271,31.4442723157,819.2357333518,32.0,620.0,linear,2017-04,0.830240451,1098436,190.0,1598.0,0.0037435044,4.9836244354,4.1965307277,83271,83271,4.5231320485,83271,3.8566583163,83271,KGHM,0.9241913047,0
0.1016162981,,1098436,0.0634829885,0.0761418963,83637,50,reset,0,-0.2646150129,-0.6609039192,83636,83637,-0.4950618722,83637,-0.8211440989,83637,31.543909992,804.2659217287,32.0,605.0,xgboost,2017-04,0.8312418748,1098436,180.0,1579.0,0.0036588386,5.1430692246,4.3502630854,83636,83637,4.6821390264,83637,4.0299357757,83637,KGHM,0.9238581037,0
0.1057330605,,1098436,0.0659428497,0.079295471,87101,50,reset,1,-0.2377499133,-0.6242291185,87101,87101,-0.4571559352,87101,-0.781738375,84679,30.9315162857,809.4202520675,32.0,610.0,linear,2017-04,0.8244768016,1098436,177.0,1590.0,0.0038472883,4.9864181079,4.213423018,87101,87101,4.5475912244,87101,3.8719026492,84679,KGHM,0.920704529,0
0.1043064867,,1098436,0.0657043287,0.0789158403,86684,50,reset,1,-0.2520487,-0.642676052,86683,86684,-0.475173972,86684,-0.7923450907,84229,31.1871164229,796.1864514637,32.0,600.0,xgboost,2017-04,0.8262411283,1098436,170.0,1572.0,0.0037480563,5.1277793869,4.3463041596,86683,86684,4.68149505,86684,4.020479836,84229,KGHM,0.9210841597,0
0.1134567694,,1098436,0.0716464136,0.0863691649,94871,50,reset,5,-0.2192935844,-0.5955659429,94871,94871,-0.4285489921,94871,-0.7008478443,82325,30.3760158531,782.8605262391,31.0,585.0,linear,2017-04,0.8107955311,1098436,150.0,1565.0,0.0041012858,4.9829997789,4.2304237687,94871,94871,4.5644745533,94871,3.8729011474,82325,KGHM,0.9136308351,0
