model,horizon,control_seed,latency,interpretation,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
xgboost,10,7.0,1,reset,0.07426105914,914106.0,0.01312423328,0.017336616960000002,15340.4,0.01848823334,-0.19452625952,15328.0,15339.6,-0.04672473696,15332.6,-0.005335843959999998,12632.2,7.25978049088,964.1955520816,7.6,650.4,0.91166306544,914106.0,130.4,2107.2,0.00095164214,4.82332864338,4.39982597494,15328.0,15339.6,4.694422791519999,15332.6,4.6917219167,12632.2,0.98266338304,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,10,7.0,1,retain,0.07426105914,914106.0,0.01312423328,0.017336616960000002,15340.4,0.01848823334,-0.19452625952,15328.0,15339.6,-0.04672473696,15332.6,-0.005335843959999998,12632.2,7.25978049088,964.1955520816,7.6,650.4,0.91166306544,914106.0,130.4,2107.2,0.00095164214,4.82332864338,4.39982597494,15328.0,15339.6,4.694422791519999,15332.6,4.6917219167,12632.2,0.98266338304,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,10,7.0,5,reset,0.07424503964,914106.0,0.013133729399999999,0.017294597000000002,15315.6,0.025568857600000005,-0.18161804338,15301.2,15312.8,-0.044309694680000004,15304.6,0.09329857826,3758.0,7.248586058620001,962.0432260813801,7.6,647.4,0.91168227746,914106.0,129.8,2106.0,0.00093895348,4.81389723558,4.40204826832,15301.2,15312.8,4.6759467815,15304.6,4.53393084788,3758.0,0.982705403,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,10,7.0,5,retain,0.07424503964,914106.0,0.013133729399999999,0.017294597000000002,15315.6,0.025568857600000005,-0.18161804338,15301.2,15312.8,-0.044309694680000004,15304.6,0.09329857826,3758.0,7.248586058620001,962.0432260813801,7.6,647.4,0.91168227746,914106.0,129.8,2106.0,0.00093895348,4.81389723558,4.40204826832,15301.2,15312.8,4.6759467815,15304.6,4.53393084788,3758.0,0.982705403,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,10,,0,reset,0.0388511997,843354.7,0.00410339425,0.00523215776,4300.4,-0.031646766915,-0.22630318927499998,4294.95,4300.2,-0.0974500672,4298.15,-0.002171594150000002,4300.4,7.749577307415,1438.159062194585,8.05,1057.75,0.95668622748,843354.7,333.35,2807.75,0.00035917859500000004,4.6790449364799995,4.293389291755,4294.95,4300.2,4.548502484765001,4298.15,4.737956425175,4300.4,0.9947678422399999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,,0,retain,0.0388511997,843354.7,0.00410339425,0.00523215776,4300.4,-0.031646766915,-0.22630318927499998,4294.95,4300.2,-0.0974500672,4298.15,-0.002171594150000002,4300.4,7.749577307415,1438.159062194585,8.05,1057.75,0.95668622748,843354.7,333.35,2807.75,0.00035917859500000004,4.6790449364799995,4.293389291755,4294.95,4300.2,4.548502484765001,4298.15,4.737956425175,4300.4,0.9947678422399999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,,1,reset,0.041284850525,843354.7,0.004800171855,0.006201683675,5104.25,0.015934292080000002,-0.179024127705,5097.55,5103.85,-0.039508133295000004,5101.25,0.055159658759999994,4053.95,7.5761162667,1421.7959490880698,7.95,1043.35,0.9535155402200001,843354.7,313.15,2792.15,0.00039943741,4.532099740505,4.1454782234200005,5097.55,5103.85,4.422187694835,5101.25,4.530314944725,4053.95,0.9937983163249999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,,1,retain,0.041284850525,843354.7,0.004800171855,0.006201683675,5104.25,0.015934292080000002,-0.179024127705,5097.55,5103.85,-0.039508133295000004,5101.25,0.055159658759999994,4053.95,7.5761162667,1421.7959490880698,7.95,1043.35,0.9535155402200001,843354.7,313.15,2792.15,0.00039943741,4.532099740505,4.1454782234200005,5097.55,5103.85,4.422187694835,5101.25,4.530314944725,4053.95,0.9937983163249999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,,5,reset,0.047210289825,843354.7,0.00606720312,0.007989386854999999,6587.7,0.018924501774999998,-0.17251306535,6577.8,6586.4,-0.035579042405,6582.3,0.157033091725,1353.45,7.487259786905,1375.03841576789,7.9,997.35,0.94623797345,843354.7,265.15,2748.2,0.00048453361,4.22569302478,3.8456870772099996,6577.8,6586.4,4.117853725695,6582.3,3.97459390076,1353.45,0.9920106131449999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,,5,retain,0.047210289825,843354.7,0.00606720312,0.007989386854999999,6587.7,0.018924501774999998,-0.17251306535,6577.8,6586.4,-0.035579042405,6582.3,0.157033091725,1353.45,7.487259786905,1375.03841576789,7.9,997.35,0.94623797345,843354.7,265.15,2748.2,0.00048453361,4.22569302478,3.8456870772099996,6577.8,6586.4,4.117853725695,6582.3,3.97459390076,1353.45,0.9920106131449999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,20,7.0,0,reset,0.12283811954000001,912368.0,0.03923039112,0.05280872364,46596.6,-0.09904604410000001,-0.37024354208,46578.0,46595.2,-0.23051232684,46588.4,-0.2423202034,46596.6,12.987779219179998,1005.30954635382,13.2,687.8,0.8347816794,912368.0,145.2,2181.4,0.00314980994,5.09959481714,4.55820871978,46578.0,46595.2,4.83679917642,46588.4,4.81304551028,46596.6,0.9471912763600001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,7.0,0,retain,0.12283811954000001,912368.0,0.03923039112,0.05280872364,46596.6,-0.09904604410000001,-0.37024354208,46578.0,46595.2,-0.23051232684,46588.4,-0.2423202034,46596.6,12.987779219179998,1005.30954635382,13.2,687.8,0.8347816794,912368.0,145.2,2181.4,0.00314980994,5.09959481714,4.55820871978,46578.0,46595.2,4.83679917642,46588.4,4.81304551028,46596.6,0.9471912763600001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,7.0,1,reset,0.12304468760000001,912368.0,0.039345786859999995,0.052952258780000004,46710.2,-0.09335776666,-0.36453240836,46687.2,46707.6,-0.22495744597999998,46698.4,-0.22878168586000003,43393.0,12.9659237079,1002.2162900072001,13.2,683.0,0.83444897188,912368.0,143.8,2178.46,0.00316055362,5.14022514294,4.59913547734,46687.2,46707.6,4.87726979662,46698.4,4.803670890699999,43393.0,0.9470477412199999,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,7.0,1,retain,0.12304468760000001,912368.0,0.039345786859999995,0.052952258780000004,46710.2,-0.09335776666,-0.36453240836,46687.2,46707.6,-0.22495744597999998,46698.4,-0.22878168586000003,43393.0,12.9659237079,1002.2162900072001,13.2,683.0,0.83444897188,912368.0,143.8,2178.46,0.00316055362,5.14022514294,4.59913547734,46687.2,46707.6,4.87726979662,46698.4,4.803670890699999,43393.0,0.9470477412199999,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,7.0,5,reset,0.12325527144000001,912368.0,0.03950609838,0.053084839679999996,46826.4,-0.09200420043999999,-0.36491744778,46785.2,46820.4,-0.22575497052000001,46801.0,-0.1392163904,30332.6,12.94768726224,995.32624529696,13.2,675.4,0.8340555971200001,912368.0,139.4,2170.8,0.00318303308,5.182820964719999,4.63947636436,46785.2,46820.4,4.9164578002,46801.0,4.76819717516,30332.6,0.94691516032,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
