adverse_before_fill,control_seed,decile,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0356201014,,2,108450,0.0079852467,0.0089442139,970,10,retain,5,0.0149630101,0.0898199734,970,970,0.0677954255,970,0.1109911659,193,7.506185567,202.687966805,8.0,200.0,linear,2017-04,0.956219456,108450,162.0,242.0,0.0001751959,4.6306048997,4.7803958625,970,970,4.736316237,970,4.5148854066,193,KGHM,0.9910557861,0
0.0280023628,,3,108348,0.004457858,0.0054269576,588,10,retain,5,0.1145550601,-0.1127617175,588,588,0.0875647964,588,0.0903808831,138,7.3316326531,301.1514195001,8.0,300.0,linear,2017-04,0.9673459593,108348,261.0,343.0,0.0001938199,4.0012550788,3.5467130755,588,588,3.9474180952,588,3.2514231118,138,KGHM,0.9945730424,0
0.0226764583,,4,110026,0.0040717649,0.0047534219,523,10,retain,5,-0.1434723012,-0.6475178831,523,523,-0.405832167,523,-0.0020155315,72,7.6806883365,408.4240270482,8.0,407.0,linear,2017-04,0.972979114,110026,364.0,453.0,0.0002726628,3.2848074315,2.2767653825,523,523,2.760053679,523,3.4003905427,72,KGHM,0.9952465781,0
0.0208867751,,5,109543,0.0039162703,0.0047561232,521,10,retain,5,-0.1696036001,-0.41119382,521,521,-0.1034525381,521,0.2802811709,58,7.9500959693,521.9020841131,8.0,517.0,linear,2017-04,0.9750235068,109543,479.0,571.0,0.0001734479,3.9310430674,3.4477342614,521,521,4.0632497683,521,3.6124833264,58,KGHM,0.9952438768,0
0.0199992734,,6,110104,0.0025793795,0.0031788128,350,10,retain,5,0.0119872468,-0.562744738,350,350,-0.228149179,350,-0.3081837969,34,8.0142857143,653.9291669694,8.0,651.0,linear,2017-04,0.9772124537,110104,600.0,712.0,0.0002088934,3.4351716026,2.2855400672,350,350,2.9548979334,350,2.6186528124,34,KGHM,0.9968211872,0
0.0153908501,,7,111040,0.0021974063,0.0026657061,296,10,retain,5,-0.1808592869,-0.440355514,296,296,-0.1618308754,296,-0.1845018009,21,8.2195945946,809.8590237752,9.0,806.0,linear,2017-04,0.9823757205,111040,743.0,881.0,3.60231e-05,2.8838747504,2.3647708943,296,296,2.9218445937,296,2.2979026153,21,KGHM,0.9973342939,0
0.0183673845,,8,108562,0.0018514766,0.0021093937,229,10,retain,5,-0.17861551,-0.6896606589,229,229,-0.5909033079,229,0.4320586955,14,8.2969432314,1010.4850684402,9.0,1002.0,linear,2017-04,0.9797350823,108562,923.0,1108.0,4.60566e-05,3.0340407683,2.011814216,229,229,2.209541878,229,0.8690952519,14,KGHM,0.9978906063,0
0.0161485374,,9,109979,0.0010092836,0.001127488,124,10,retain,5,0.7344350864,0.0364446643,124,124,0.5562536931,124,0.4881859012,8,8.4596774194,1321.6275107066,9.0,1307.0,linear,2017-04,0.9827967157,109979,1164.0,1509.0,4.54632e-05,4.2967118996,2.9006004709,124,124,3.9403555703,124,2.9454385081,8,KGHM,0.998872512,0
0.0127164576,,10,109779,0.000564771,0.0006103171,67,10,retain,5,-0.3641003188,-0.5213366109,67,67,-0.7518558022,67,-0.403551251,5,8.5074626866,2516.8688091529,9.0,2057.0,linear,2017-04,0.9867005529,109779,1639.0,3963.0,1.82184e-05,3.1791683363,2.8644421983,67,67,2.4036425654,67,5.6461416826,5,KGHM,0.9993896829,0
0.0631103599,,1,117144,0.0184559175,0.0212046712,2484,10,retain,5,0.3879251668,0.3721813148,2484,2484,0.5787723618,2484,0.3375761916,684,6.9959742351,99.272732705,7.0,100.0,xgboost,2017-04,0.9180581165,117144,50.0,145.7,0.0003756061,4.8278016772,4.7962451583,2484,2484,5.2095280695,2484,3.8869008486,684,KGHM,0.9787953288,0
0.0351629753,,2,102807,0.007314677,0.0082776465,851,10,retain,5,0.0224500633,0.0875616217,851,851,0.0785020609,851,0.1279105188,149,7.6180963572,199.8019298297,8.0,200.0,xgboost,2017-04,0.9573375354,102807,161.0,237.0,0.0001848123,4.6868849492,4.8171882627,851,851,4.7990072538,851,4.5217570888,149,KGHM,0.9917223535,0
0.0276170674,,3,110620,0.0044295787,0.0053516543,592,10,retain,5,-0.0191665332,-0.1408610772,592,592,0.0286192834,592,0.0931741819,138,7.3462837838,295.8442596276,8.0,300.0,xgboost,2017-04,0.9677454348,110620,254.0,338.0,0.000207919,3.8407305491,3.5973887916,592,592,3.936450062,592,3.2716781272,138,KGHM,0.9946483457,0
0.0223639556,,4,109909,0.0038577369,0.0045765133,503,10,retain,5,-0.1219148467,-0.5935317521,503,503,-0.3878030016,503,0.0548362446,72,7.662027833,402.6037904084,8.0,400.0,xgboost,2017-04,0.9735144529,109909,358.0,448.0,0.0002638546,3.2667259408,2.323504858,503,503,2.7349374886,503,3.7115900414,72,KGHM,0.9954234867,0
0.0213199348,,5,110460,0.0038475466,0.0045898968,507,10,retain,5,-0.0938186875,-0.4997296121,507,507,-0.1161676205,507,0.1994746259,60,7.9546351085,515.2623664675,8.0,510.0,xgboost,2017-04,0.9746876697,110460,472.0,562.0,0.0001448488,4.0691281787,3.2572928279,507,507,4.0245424146,507,3.8700550801,60,KGHM,0.9954101032,0
0.019450989,,6,109506,0.002392563,0.0030317973,332,10,retain,5,-0.1085606698,-0.6288800711,331,331,-0.1943803735,331,-0.443950409,28,8.0963855422,645.8179917082,8.0,644.0,xgboost,2017-04,0.977937282,109506,593.0,701.0,0.0002191661,3.0605207254,2.0194407284,331,331,2.8885508146,331,1.8500307461,28,KGHM,0.9969682027,0
0.01575323,,7,109057,0.0020998194,0.0024666,269,10,retain,5,-0.1653451765,-0.4416552004,269,269,-0.1934866081,269,-0.215252101,18,8.2602230483,798.2827787304,9.0,795.0,xgboost,2017-04,0.9821102726,109057,732.0,869.0,3.66781e-05,2.9210741854,2.3682909085,269,269,2.8646875334,269,2.4718708732,18,KGHM,0.9975334,0
0.0181257897,,8,110009,0.0016816806,0.0019452954,214,10,retain,5,-0.1446479935,-0.559874371,214,214,-0.5558520572,214,0.2922767553,14,8.2663551402,996.1484605805,9.0,994.0,xgboost,2017-04,0.9801470789,110009,905.0,1096.0,4.54508e-05,3.0282198315,2.1976265494,214,214,2.2058811787,214,0.9235698974,14,KGHM,0.9980547046,0
0.0157614387,,9,109825,0.000992488,0.001129069,124,10,retain,5,0.7351239251,0.0557203633,124,124,0.5221823114,124,0.4881859012,8,8.4838709677,1309.1071340769,9.0,1295.0,xgboost,2017-04,0.9832005463,109825,1154.0,1500.0,4.5527e-05,4.2689307199,2.9099542812,124,124,3.8430577211,124,2.9454385081,8,KGHM,0.998870931,0
0.0123111666,,10,109819,0.00050993,0.0005645653,62,10,retain,5,-0.6212433479,-0.8248182337,62,62,-0.9711108805,62,-0.5044390638,4,8.6129032258,2498.9366229887,9.0,2041.0,xgboost,2017-04,0.9871606917,109819,1624.0,3939.0,1.82118e-05,2.2507451204,1.843321347,62,62,1.5509617146,62,6.0516408859,4,KGHM,0.9994354347,0
0.073136542,,1,110574,0.0362472191,0.040633422,4493,20,retain,0,-0.0218918982,0.1597700488,4493,4493,0.2063223719,4493,0.1387798799,4493,13.432673047,129.5365727929,14.0,130.0,linear,2017-04,0.8898384792,110574,77.0,178.0,0.0007777597,5.7213034897,6.0846268815,4493,4493,6.1777102579,4493,6.0426074365,4493,KGHM,0.959366578,0
0.0556840323,,2,109834,0.0157146239,0.0174809258,1920,20,retain,0,-0.2704295328,-0.4791359668,1920,1920,-0.4683749837,1920,-0.3750533727,1920,14.2859375,239.0755139574,15.0,240.0,linear,2017-04,0.9279731231,109834,200.0,279.0,0.0006282208,4.5104202569,4.0931426752,1920,1920,4.1146673494,1920,4.3013047701,1920,KGHM,0.9825190742,0
0.0442108518,,3,109973,0.015212825,0.0176770662,1944,20,retain,0,-0.0265813873,-0.3578220992,1944,1944,-0.2038068801,1944,-0.1856381506,1944,13.7865226337,339.8524456003,14.0,340.0,linear,2017-04,0.9396397298,109973,300.0,382.0,0.0009365935,4.4138751768,3.7514544273,1944,1944,4.0596005696,1944,4.0958300765,1944,KGHM,0.9823229338,0
0.0409367287,,4,116277,0.0134592396,0.0164004919,1907,20,retain,0,-0.2475846101,-0.8054960922,1907,1907,-0.4574796592,1907,-0.4773224139,1907,14.3817514421,449.7904056692,15.0,450.0,linear,2017-04,0.9448128177,116277,401.0,500.0,0.0007912141,3.7545693909,2.6387459792,1907,1907,3.3347471202,1907,3.2950969462,1907,KGHM,0.9835995081,0
0.0357132656,,5,105031,0.01315802,0.0156144376,1640,20,retain,0,-0.4465389732,-0.5547832016,1640,1640,-0.5151544088,1640,-0.453024735,1640,14.2402439024,561.1249250221,15.0,560.0,linear,2017-04,0.9502908665,105031,512.0,610.0,0.0008378479,3.4647112955,3.2481430579,1640,1640,3.3274171639,1640,3.4516911117,1640,KGHM,0.9843855624,0
0.0367813752,,6,108071,0.0109927733,0.0133985991,1448,20,retain,0,-0.0498615103,-0.4869336392,1448,1448,-0.1736804636,1448,-0.2455044442,1448,14.4357734807,688.9504029758,15.0,689.0,linear,2017-04,0.9514485847,108071,634.0,745.0,0.0007772668,3.9784910903,3.1043123716,1448,1448,3.7308647305,1448,3.5871315735,1448,KGHM,0.9866014009,0
