model,horizon,control_seed,latency,interpretation,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
xgboost,20,29.0,1,reset,0.1109816602,657478.0,0.0580004198,0.0707293628,46503.0,-0.2700720638,-0.5065243236,46503.0,46503.0,-0.4195670774,46503.0,-0.3811858592,43175.0,13.0066017246,754.8577427686,13.0,453.0,0.8277858727,657478.0,86.0,1646.0,0.0032320473,3.9757801573,3.5028320008,46503.0,46503.0,3.6767584128,46503.0,3.6960891855,43175.0,0.9292706372,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,29.0,1,retain,0.1109816602,657478.0,0.0580004198,0.0707293628,46503.0,-0.2700720638,-0.5065243236,46503.0,46503.0,-0.4195670774,46503.0,-0.3811858592,43175.0,13.0066017246,754.8577427686,13.0,453.0,0.8277858727,657478.0,86.0,1646.0,0.0032320473,3.9757801573,3.5028320008,46503.0,46503.0,3.6767584128,46503.0,3.6960891855,43175.0,0.9292706372,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,29.0,5,reset,0.1130243141,657478.0,0.0591289747,0.0722853084,47526.0,-0.2646698252,-0.5088821885,47526.0,47526.0,-0.4212015605,47526.0,-0.2881493023,30633.0,13.0013045491,746.2290008183,13.0,446.0,0.8245964124,657478.0,86.0,1631.0,0.0032502989,3.9454057427,3.4569495791,47526.0,47526.0,3.632307801,47526.0,3.5850011666,30633.0,0.9277146916,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,29.0,5,retain,0.1130243141,657478.0,0.0591289747,0.0722853084,47526.0,-0.2646698252,-0.5088821885,47526.0,47526.0,-0.4212015605,47526.0,-0.2881493023,30633.0,13.0013045491,746.2290008183,13.0,446.0,0.8245964124,657478.0,86.0,1631.0,0.0032502989,3.9454057427,3.4569495791,47526.0,47526.0,3.632307801,47526.0,3.5850011666,30633.0,0.9277146916,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,50,7.0,0,reset,0.22467217934,907533.6,0.11984426898,0.16322798927999999,144524.8,-0.1745870051,-0.53999842792,144507.4,144524.0,-0.39097946196000005,144519.8,-0.71023355176,144524.8,28.3277393099,1009.05554616274,28.6,689.2,0.6448296922,907533.6,145.8,2192.0,0.010653859460000002,6.3600658749,5.62884606502,144507.4,144524.0,5.9271471094,144519.8,5.2887265145,144524.8,0.8367720107200001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,50,7.0,0,retain,0.22467217934,907533.6,0.11984426898,0.16322798927999999,144524.8,-0.1745870051,-0.53999842792,144507.4,144524.0,-0.39097946196000005,144519.8,-0.71023355176,144524.8,28.3277393099,1009.05554616274,28.6,689.2,0.6448296922,907533.6,145.8,2192.0,0.010653859460000002,6.3600658749,5.62884606502,144507.4,144524.0,5.9271471094,144519.8,5.2887265145,144524.8,0.8367720107200001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,50,7.0,1,reset,0.22453244354000002,907533.6,0.12007340596,0.16343335042,144710.0,-0.1738358179,-0.53866980766,144689.0,144708.6,-0.39018335104,144702.6,-0.70013798916,141541.6,28.330182778439998,1006.02894945272,28.4,687.0,0.64470726956,907533.6,144.4,2187.6,0.010686880880000001,6.38229580036,5.65224119408,144689.0,144708.6,5.94945293528,144702.6,5.29472078092,141541.6,0.8365666495799999,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,50,7.0,1,retain,0.22453244354000002,907533.6,0.12007340596,0.16343335042,144710.0,-0.1738358179,-0.53866980766,144689.0,144708.6,-0.39018335104,144702.6,-0.70013798916,141541.6,28.330182778439998,1006.02894945272,28.4,687.0,0.64470726956,907533.6,144.4,2187.6,0.010686880880000001,6.38229580036,5.65224119408,144689.0,144708.6,5.94945293528,144702.6,5.29472078092,141541.6,0.8365666495799999,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,50,7.0,5,reset,0.22540445074,907533.6,0.12108809173999999,0.16472753231999998,145785.6,-0.17256956194,-0.53625165076,145747.2,145782.0,-0.38979200534,145767.8,-0.6559794166799999,129703.8,28.30984700154,997.83670442782,28.4,679.2,0.6426950791199999,907533.6,139.78,2176.6,0.01081237836,6.3966767781,5.66891752318,145747.2,145782.0,5.96206065516,145767.8,5.25167029396,129703.8,0.83527246768,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,50,7.0,5,retain,0.22540445074,907533.6,0.12108809173999999,0.16472753231999998,145785.6,-0.17256956194,-0.53625165076,145747.2,145782.0,-0.38979200534,145767.8,-0.6559794166799999,129703.8,28.30984700154,997.83670442782,28.4,679.2,0.6426950791199999,907533.6,139.78,2176.6,0.01081237836,6.3966767781,5.66891752318,145747.2,145782.0,5.96206065516,145767.8,5.25167029396,129703.8,0.83527246768,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
