interpretation,horizon,latency,metric,blocks,defined_blocks,mean_delta,median_delta,wins,ci_low,ci_high,without_KGHM,without_PKNORLEN,without_PKOBP,without_PZU,without_PEKAO,without_2017-04,without_2017-06,without_2017-09,without_2017-11
reset,20,5,fill_probability,20,20,-0.0003230864249999998,-0.0003394888000000009,3,-0.0004629795382499995,-0.0001702684988749999,-0.00027275523125,-0.0003385004874999996,-0.00039720781874999955,-0.00033132658125,-0.00027564200624999985,-0.0003038277999999996,-0.0003597076933333334,-0.0003606095933333331,-0.00026820061333333314
reset,20,5,fill_before_adverse,20,20,-0.00022260077999999972,-0.0002246059999999996,4,-0.00034607998824999963,-0.00010127165750000084,-0.00017038902500000007,-0.00023221238124999954,-0.0002724320749999999,-0.0002503971312499999,-0.0001875732874999992,-0.00018451164666666634,-0.00027203200666666636,-0.00026940487999999957,-0.00016445458666666663
reset,20,5,markout_5,20,20,-0.006740736530000004,-0.0027179427500000075,8,-0.013678816997000003,-0.001285647790375005,-0.004812720406250004,-0.005466749375000005,-0.008105182231250004,-0.007957543531250005,-0.00736148710625,-0.004790176560000006,-0.005947856546666671,-0.008882837373333334,-0.007342075640000004
reset,20,5,spread_5,20,20,0.05544498293999989,0.06652353489999974,16,0.024711601533499897,0.08606024239499983,0.048752665306249915,0.06245915640624988,0.04637826305624987,0.06600484749999991,0.05362998243124986,0.05991641577999983,0.055733972579999916,0.051200785493333206,0.0549287579066666
reset,50,0,fill_probability,20,20,0.000827215194999998,0.00046447344999999557,17,0.00037735832199999725,0.0013135082772499987,0.0008326050187499991,0.0006786511124999986,0.0009066959062499977,0.0009015493999999982,0.0008165745374999964,0.000865381519999997,0.0005177228199999985,0.0011327818399999975,0.0007929745999999988
reset,50,0,fill_before_adverse,20,20,0.0008384658050000004,0.0005735700499999996,16,0.000447895939750002,0.0012684182255000003,0.0008545414625,0.0007125496937500013,0.0009341643062500005,0.0008673745187499997,0.0008236990437500004,0.0009684985800000009,0.0005020517866666662,0.0010634881666666666,0.000819824686666668
reset,50,0,markout_5,20,20,0.0058417189999999935,0.00749427205,13,0.0016250891587499818,0.009937271655250001,0.006791106093749994,0.005356282712499995,0.005426982281249994,0.0059566111124999925,0.005677612799999994,0.0057550644999999866,0.006261001879999994,0.004407364506666665,0.00694344511333333
reset,50,0,spread_5,20,20,0.10645468145999996,0.09830447895000027,20,0.08012664442937491,0.13828281634300005,0.09096701319999997,0.11560497775624998,0.10694687972499992,0.10365030515625001,0.11510423146249996,0.10563173026666658,0.09362956595333331,0.12269632870000002,0.10386110091999994
reset,50,1,fill_probability,20,20,0.0003434299249999946,0.00014054420000000206,13,-3.231342012500516e-05,0.000747672904124991,0.00036073306874999465,0.00025525355624999354,0.000379631324999994,0.00040165558749999473,0.00031987608749999615,0.00036625685333332807,9.883485999999478e-05,0.0006301155466666606,0.00027851243999999495
reset,50,1,fill_before_adverse,20,20,0.0004489666699999999,0.00029608485000000295,12,0.00011648620937500027,0.0008102884930000004,0.0004851493750000005,0.0003767552375,0.0004955211000000001,0.0004585612187499996,0.0004288464187499992,0.000560095933333334,0.0001636504133333332,0.0006656441466666677,0.0004064761866666646
reset,50,1,markout_5,20,20,0.00024505996000000614,0.0020256809499999973,10,-0.004246244620249974,0.004565225159374997,0.0017505896187500081,0.0006501272312500039,-0.0009866817937499925,-5.5356656249993044e-05,-0.00013337859999999584,0.0006267934200000065,0.001245854626666663,-0.0014045497066666598,0.0005121415000000147
reset,50,1,spread_5,20,20,0.09683375925499996,0.08754673915000022,20,0.06984611305425001,0.12876985129712507,0.08229406731249989,0.10578831699374999,0.09538128856249992,0.09432707273125004,0.10637805067499992,0.09544665437999994,0.08516170413333327,0.1128380245866666,0.09388865392
reset,50,5,fill_probability,20,20,0.0005024800500000003,0.0003827562500000048,14,0.00017934238587499933,0.0008462707506249983,0.0005273251687500013,0.0004352864312500001,0.0005203130875,0.0005404515624999997,0.0004890240000000002,0.0005687906000000002,0.00030521510000000124,0.0007127276466666657,0.00042318685333333404
reset,50,5,fill_before_adverse,20,20,0.0005264174700000006,0.0004118554500000052,14,0.00023673743600000202,0.0008497011414999991,0.0005638013687500002,0.0004484730937500004,0.0005640436437500005,0.0005306272625000014,0.0005251419812500003,0.0006700612999999999,0.00028558958000000266,0.0006563025466666673,0.0004937164533333325
reset,50,5,markout_5,20,20,0.0011653401700000038,0.0033307920500000032,13,-0.0030078075359999995,0.00500991807075,0.0025368468125000036,0.001669683506250002,-0.0003781777624999941,0.00048280030624999956,0.0015155479875000079,0.001924499826666659,0.002181659160000012,-0.0004506570466666582,0.0010058587400000021
reset,50,5,spread_5,20,20,0.07869985517499996,0.06195814444999992,19,0.053348378153125015,0.10832350325524993,0.06630567408124996,0.08754652936249993,0.07362623689375003,0.07724300355624997,0.08877783198124989,0.07593327134000001,0.06955209085333329,0.09237889954666659,0.07693515895999994
retain,10,0,fill_probability,20,20,-0.00021253791999999985,-0.00023526145,2,-0.00028057951124999995,-0.00014421336849999985,-0.00019032222499999984,-0.0002555562874999999,-0.00023734208124999984,-0.00018759554999999987,-0.0001918734562499999,-0.00021173475333333318,-0.0002048382399999999,-0.00023046727999999987,-0.00020311140666666656
retain,10,0,fill_before_adverse,20,20,-0.0001456935100000001,-0.00014336055000000012,4,-0.00020067082612500002,-9.114883662500002e-05,-0.0001213671062500001,-0.00017596133125000006,-0.0001651367000000001,-0.00013981851250000006,-0.00012618390000000002,-0.00013597804,-0.00014661180000000005,-0.00016374827333333342,-0.00013643592666666676
retain,10,0,markout_5,20,20,0.0004533690449999961,-0.000383300799999986,10,-0.013753386787750007,0.013401885261249991,-0.00030140978750000475,-0.0024338267562500028,0.0026643361562499936,0.0036873811624999957,-0.0013496355500000013,-0.007294352926666669,-0.0025553981266666736,0.003281397513333332,0.008381829719999996
retain,10,0,spread_5,20,20,0.07454109956999999,0.051864377499999836,15,0.012486689825749867,0.13628439365687492,0.05927866286875,0.07720696413749997,0.05021197979375003,0.09361891196249997,0.09238897908749999,0.09010860939999994,0.06734751904666665,0.060072184800000004,0.08063608503333336
retain,10,1,fill_probability,20,20,-0.0003244127650000001,-0.0003121953500000007,0,-0.0003811681986249999,-0.00026670267587500024,-0.00029889594375000016,-0.0003441461875000001,-0.00034872756250000004,-0.0003231168000000001,-0.00030717733125,-0.00032232880666666666,-0.0003158649800000001,-0.00034162162666666676,-0.00031783564666666676
retain,10,1,fill_before_adverse,20,20,-0.0002542126599999999,-0.0002701331999999993,1,-0.0003083821252499998,-0.0001983991623749999,-0.00022344456249999986,-0.00026129423749999983,-0.00028218765624999986,-0.0002678291937499999,-0.00023630765000000009,-0.00024506140666666657,-0.0002515232466666666,-0.00026842343333333325,-0.0002518425533333332
retain,10,1,markout_5,20,20,-0.013832842995000002,-0.013635323600000004,6,-0.026367874033500004,-0.0022366056297500095,-0.011769596381250006,-0.011260587475000007,-0.014474733625000008,-0.013806186362500007,-0.01785311113125,-0.012607329786666673,-0.017099165086666677,-0.01496368332666667,-0.010661193780000007
retain,10,1,spread_5,20,20,0.050376253330000106,0.022796108450000352,11,9.41668347500632e-05,0.10401336931537512,0.040763663868750105,0.05064254485625014,0.04068258976250008,0.05689960846875017,0.06289285969375005,0.07937657247333346,0.035549337926666764,0.029589570166666797,0.05698953275333342
retain,10,5,fill_probability,20,20,-0.00022404934499999996,-0.00021603950000000007,1,-0.00028770791937499985,-0.0001615962597500002,-0.00019379540624999992,-0.00023438849374999996,-0.00025490938125000004,-0.00022272446874999996,-0.0002144289749999999,-0.00020317439333333322,-0.0002225813733333335,-0.00025117093333333336,-0.00021927067999999976
