symbol,horizon_events,feature_set,model,fold,day,negative_control,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
PEKAO,20,spread,tree,9,2017-01-16,False,58100,-0.012133482406428867,0.490213577891303,0.0,2.159920584973991,
PEKAO,20,spread,tree,9,2017-01-16,True,58100,0.036321119339199764,0.5420077552778975,0.0,2.159920584973991,
PEKAO,20,imbalance,linear,1,2017-01-03,False,40611,0.24801044370770342,0.6458376156217883,0.19024402255546527,1.6979163618400055,-0.09053157512258357
PEKAO,20,imbalance,linear,1,2017-01-03,True,40611,-0.1699993754644227,0.49825282631038026,0.0,1.6979163618400055,
PEKAO,20,imbalance,linear,2,2017-01-04,False,45475,0.2967160236096935,0.6837826472924357,0.1525013743815283,1.480256932063636,0.052242158454665365
PEKAO,20,imbalance,linear,2,2017-01-04,True,45475,0.22274340318271876,0.4998831939447741,0.0,1.480256932063636,
PEKAO,20,imbalance,linear,3,2017-01-05,False,20681,0.32953313678969326,0.7172956939756572,0.15830955949905712,1.262496846717636,0.15107255851789655
PEKAO,20,imbalance,linear,3,2017-01-05,True,20681,-0.26582515601444406,0.5059834305001534,0.0,1.262496846717636,
PEKAO,20,imbalance,linear,4,2017-01-09,False,41999,0.2922965740105244,0.6911032824470167,0.13778899497607086,1.1913477456356454,0.04013221664057518
PEKAO,20,imbalance,linear,4,2017-01-09,True,41999,0.08701861150136941,0.47877872840127494,0.0,1.1913477456356454,
PEKAO,20,imbalance,linear,5,2017-01-10,False,32354,0.2730941590566713,0.6745843230403801,0.12007788836001732,1.3257777091374983,0.09000014048199802
PEKAO,20,imbalance,linear,5,2017-01-10,True,32354,0.10317742722038072,0.4947215624175244,0.0,1.3257777091374983,
PEKAO,20,imbalance,linear,6,2017-01-11,False,18482,0.3099444471002009,0.684011113917656,0.12958554269018505,1.2239893186373885,0.09335608023208086
PEKAO,20,imbalance,linear,6,2017-01-11,True,18482,0.01229010531947937,0.4863601919676686,0.0,1.2239893186373885,
PEKAO,20,imbalance,linear,7,2017-01-12,False,37010,0.28535986988718803,0.6548336798336798,0.1958930018913807,1.5318661619733982,0.06385766054105499
PEKAO,20,imbalance,linear,7,2017-01-12,True,37010,-0.20669700469899238,0.47448024948024947,0.0,1.5318661619733982,
